root/'s-Hertogenbosch/R/ESP,root/'s-Hertogenbosch/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,12.0,26.0,0,0,0,0,0,0,0,0,0,0
root/'s-Hertogenbosch/R/ESP/TommyRobredo,root/'s-Hertogenbosch/R/ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,12.0,26.0,0,0,0,0,0,0,0,0,0,0
root/'s-Hertogenbosch/R/FRA,root/'s-Hertogenbosch/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/'s-Hertogenbosch/R/FRA/NicolasEscude,root/'s-Hertogenbosch/R/FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/'s-Hertogenbosch/R/FRA/SebastienGrosjean,root/'s-Hertogenbosch/R/FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/'s-Hertogenbosch/R/GER,root/'s-Hertogenbosch/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/'s-Hertogenbosch/R/GER/TommyHaas,root/'s-Hertogenbosch/R/GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/'s-Hertogenbosch/R/NED,root/'s-Hertogenbosch/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,30.0,0,0,0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/'s-Hertogenbosch/R/NED/RichardKrajicek,root/'s-Hertogenbosch/R/NED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/'s-Hertogenbosch/R/NED/SjengSchalken,root/'s-Hertogenbosch/R/NED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/'s-Hertogenbosch/R/SUI,root/'s-Hertogenbosch/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/'s-Hertogenbosch/R/SUI/RogerFederer,root/'s-Hertogenbosch/R/SUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/'s-Hertogenbosch/R/SVK,root/'s-Hertogenbosch/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/'s-Hertogenbosch/R/SVK/KarolKucera,root/'s-Hertogenbosch/R/SVK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/'s-Hertogenbosch/R/THA,root/'s-Hertogenbosch/R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/'s-Hertogenbosch/R/THA/ParadornSrichaphan,root/'s-Hertogenbosch/R/THA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/Acapulco,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,14.0,43.0,79.0,30.0,36.0,0,55.0,50.0,75.0,108.0,91.0,163.0,75.0,140.0,51.0,168.0
root/Acapulco/L,root/Acapulco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,75.0,0,0,0,56.0
root/Acapulco/L/ESP,root/Acapulco/L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,75.0,0,0,0,56.0
