root/EastAsia&Pacific,root,0,0,0,102.2,0,0,1109.6999999999998,653.9,322.09999999999997,431.09999999999997,856.6,1002.5,638.6,889.6999999999999,1202.6000000000001,982.5000000000001,2280.8,1183.3,1613.3,1462.9,1406.3,1376.8,1423.4,1561.3999999999999,1283.3600000000001,1540.0,1568.6999999999998,1218.8000000000002,1186.6,1043.7,1059.0700000000002,585.7,251.9,0
root/EastAsia&Pacific/AmericanSamoa,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&Pacific/Australia,root/EastAsia&Pacific,0,0,0,0,0,0,0,100.0,99.3,99.3,99.4,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.4,99.3,99.2,99.1,99.1,99.1,99.1,0,99.3,0,0,0,0
root/EastAsia&Pacific/BruneiDarussalam,root/EastAsia&Pacific,0,0,0,0,0,0,0,97.8,98.0,97.8,98.2,98.6,98.9,99.6,99.3,99.4,99.5,99.7,99.6,99.6,99.6,99.7,99.7,99.9,99.7,99.9,99.8,99.7,99.8,99.7,99.9,100.0,0,0
root/EastAsia&Pacific/Cambodia,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,43.3,0,0,34.0,0,31.8,0,0,0,16.3,43.8,0,0,0,0,71.0,71.7,74.0,0,89.0,0,0,0
root/EastAsia&Pacific/China,root/EastAsia&Pacific,0,0,0,0,0,0,94.0,93.7,84.1,83.6,90.4,89.3,93.1,93.8,0,96.8,96.6,97.3,96.7,95.9,97.3,97.5,97.8,98.4,99.1,99.3,99.6,99.7,99.8,99.9,99.9,99.9,0,0
root/EastAsia&Pacific/Fiji,root/EastAsia&Pacific,0,0,0,0,0,0,95.3,94.5,0,97.6,96.2,96.2,96.3,96.2,96.7,96.4,96.9,98.4,96.9,96.7,97.0,97.2,99.3,99.0,98.8,99.8,99.7,99.6,99.3,98.8,0,0,0,0
root/EastAsia&Pacific/FrenchPolynesia,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&Pacific/Guam,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&Pacific/HongKongSARChina,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&Pacific/Indonesia,root/EastAsia&Pacific,0,0,0,36.3,0,0,40.7,31.7,40.7,0,36.5,49.7,0,43.2,56.0,0,66.9,0,68.4,66.3,71.5,0,0,73.0,74.86,0,82.2,0,83.1,87.4,0,0,92.6,0
root/EastAsia&Pacific/Japan,root/EastAsia&Pacific,0,0,0,0,0,0,99.9,0,0,0,0,99.9,100.0,0,0,0,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,0,99.8,0,0,0
root/EastAsia&Pacific/Kiribati,root/EastAsia&Pacific,0,0,0,0,0,0,60.0,0,0,0,72.0,0,0,0,85.0,0,85.0,0,76.0,0,0,63.0,0,0,65.0,79.8,98.3,0,0,0,0,0,0,0
root/EastAsia&Pacific/KoreaDemPeople’sRep,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.7,0,0,0,97.1,0,0,0,0,100.0,0,0,0,0,0,0,0,0
root/EastAsia&Pacific/KoreaRep,root/EastAsia&Pacific,0,0,0,0,0,0,98.0,97.9,0,0,98.4,0,0,99.6,0,0,99.9,0,0,99.9,0,0,0,0,0,99.9,0,0,99.8,0,0,100.0,0,0
root/EastAsia&Pacific/LaoPDR,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,19.4,0,0,0,14.6,18.9,0,0,0,37.0,0,40.1,0,0,0,0,0
root/EastAsia&Pacific/MacaoSARChina,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&Pacific/Malaysia,root/EastAsia&Pacific,0,0,0,0,0,0,92.8,0,0,0,0,95.1,0,0,96.2,0,96.6,96.8,97.0,97.6,98.0,98.1,98.4,98.6,98.6,98.6,98.6,98.6,98.7,98.8,98.97,0,0,0
root/EastAsia&Pacific/MarshallIslands,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.9,0,0,0,95.0,0,0,0,0,86.2,0,86.5,90.0,90.1,0,0,0,0,0,0
