root/EastAsia&PacificAmericanSamoa,root,3.0,1.0,1.0,0,24.0,1.0,10.0,55.0
root/EastAsia&PacificAustralia,root,30906.0,48509.0,72472.0,81067.0,92461.0,108937.0,237318.0,530042.0
root/EastAsia&PacificBruneiDarussalam,root,16.0,23.0,49.0,61.0,99.0,238.0,257.0,688.0
root/EastAsia&PacificCambodia,root,10.0,18.0,44.0,60.0,71.0,158.0,323.0,883.0
root/EastAsia&PacificChina,root,1604.0,2631.0,5100.0,6999.0,13314.0,26989.0,66054.0,289923.0
root/EastAsia&PacificFiji,root,13.0,21.0,41.0,43.0,64.0,79.0,99.0,131.0
root/EastAsia&PacificFrenchPolynesia,root,17.0,21.0,35.0,42.0,49.0,58.0,72.0,165.0
root/EastAsia&PacificGuam,root,26.0,29.0,37.0,48.0,51.0,115.0,106.0,120.0
root/EastAsia&PacificHongKongSARChina,root,3143.0,4521.0,7138.0,8339.0,11232.0,17002.0,28417.0,77501.0
root/EastAsia&PacificIndonesia,root,396.0,595.0,1320.0,1970.0,3006.0,4569.0,80094.0,338925.0
root/EastAsia&PacificJapan,root,70810.0,86878.0,116093.0,134421.0,175217.0,191255.0,267900.0,758209.0
root/EastAsia&PacificKiribati,root,0,0,1.0,1.0,1.0,1.0,3.0,3.0
root/EastAsia&PacificKoreaDemPeople’sRep,root,0,0,0,0,0,0,0,1.0
root/EastAsia&PacificKoreaRep,root,8688.0,10413.0,13470.0,17000.0,20634.0,28452.0,36928.0,61580.0
root/EastAsia&PacificLaoPDR,root,3.0,6.0,12.0,17.0,22.0,28.0,57.0,114.0
root/EastAsia&PacificMacaoSARChina,root,113.0,145.0,215.0,240.0,297.0,453.0,681.0,1108.0
root/EastAsia&PacificMalaysia,root,1267.0,1650.0,2948.0,3604.0,4513.0,7079.0,29017.0,152966.0
root/EastAsia&PacificMarshallIslands,root,1.0,3.0,2.0,1.0,2.0,1.0,3.0,6.0
root/EastAsia&PacificMicronesiaFedSts,root,3.0,8.0,12.0,11.0,13.0,15.0,17.0,18.0
root/EastAsia&PacificMongolia,root,25.0,35.0,81.0,117.0,174.0,225.0,1337.0,4755.0
root/EastAsia&PacificMyanmar,root,1.0,1.0,5.0,9.0,37.0,55.0,1087.0,529.0
root/EastAsia&PacificNauru,root,0,1.0,0,0,0,0,1.0,1.0
root/EastAsia&PacificNewCaledonia,root,32.0,44.0,83.0,100.0,148.0,214.0,354.0,801.0
root/EastAsia&PacificNewZealand,root,6042.0,8913.0,12618.0,14188.0,15743.0,18074.0,30178.0,71815.0
root/EastAsia&PacificNorthernMarianaIslands,root,7.0,12.0,12.0,24.0,24.0,26.0,23.0,14.0
root/EastAsia&PacificPalau,root,0,0,1.0,3.0,2.0,3.0,3.0,4.0
