root/EastAsia&Pacific,root,0,0,0,0,0,0,0,0,0,13275.0,19804.0,27198.0,43142.0,68229.0,128390.0,226225.0,424070.0,871637.0,1563028.0,2548507.0,3672393.0,5491192.0,10668663.0,23827872.0,48314554.0,73389026.0,102637735.0,148368565.0,216988588.0,306828415.0,401253129.0,496543906.0,607240242.0,708232332.0,829555393.0,1021411806.0,1226960226.0,1408304790.0,1614296061.0,1839584818.0,2042197318.0,2208381630.0,2340665183.0,2373545598.0,2525719635.0
root/EastAsia&Pacific/AmericanSamoa,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700.0,900.0,1200.0,1250.0,1300.0,1400.0,1500.0,1800.0,1992.0,2156.0,2036.0,2100.0,2250.0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&Pacific/Australia,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4423.0,31622.0,94529.0,184943.0,291459.0,497000.0,690000.0,1220000.0,2242000.0,3990000.0,4578000.0,4918000.0,6315000.0,8562000.0,11132000.0,12670000.0,14347000.0,16480000.0,18420000.0,19760000.0,21260000.0,22120000.0,22200000.0,22500000.0,23789000.0,24338000.0,24940000.0,25060000.0,25770000.0,26551000.0
root/EastAsia&Pacific/BruneiDarussalam,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772.0,3025.0,4103.0,8304.0,15623.0,35881.0,43524.0,45000.0,49129.0,66000.0,95000.0,143004.0,153647.0,177365.0,202454.0,232900.0,301400.0,366138.0,398857.0,412882.0,435104.0,443161.0,469740.0,468814.0,452054.0,463384.0,523453.0
root/EastAsia&Pacific/Cambodia,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4810.0,10239.0,14100.0,23098.0,33556.0,61345.0,89117.0,130547.0,223458.0,380000.0,498388.0,861500.0,1062000.0,1721650.0,2583318.0,4237000.0,6268000.0,8150764.0,13757000.0,19105115.0,20264514.0,20451982.0,20850543.0,19915503.0
root/EastAsia&Pacific/China,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700.0,3227.0,9805.0,18319.0,47544.0,176943.0,638000.0,1568000.0,3629000.0,6853000.0,13233000.0,23863000.0,43296000.0,85260000.0,144820000.0,206005000.0,269953000.0,334824000.0,393406000.0,461058000.0,547306000.0,641245000.0,747214000.0,859003000.0,986253000.0,1112155000.0,1229113000.0,1286093000.0,1291984200.0,1364934000.0
root/EastAsia&Pacific/Fiji,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100.0,2200.0,3700.0,5200.0,8000.0,23380.0,55057.0,80933.0,89900.0,109882.0,142190.0,205000.0,284661.0,530048.0,600000.0,640000.0,697920.0,727000.0,858809.0,930406.0,876176.0,965950.0,1044685.0
root/EastAsia&Pacific/FrenchPolynesia,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150.0,2719.0,5427.0,11060.0,21929.0,39900.0,67300.0,52250.0,60100.0,96000.0,120000.0,152000.0,174847.0,187146.0,208261.0,215890.0,222827.0,227601.0,243395.0,255123.0,268334.0,280111.0
root/EastAsia&Pacific/Guam,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867.0,1301.0,1907.0,4098.0,4965.0,5803.0,5673.0,12837.0,20000.0,27200.0,32600.0,70500.0,79800.0,98000.0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&Pacific/HongKongSARChina,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,1000.0,4400.0,10000.0,28060.0,51280.0,89193.0,133912.0,189664.0,233324.0,290843.0,484823.0,798373.0,1361861.0,2229862.0,3174369.0,4275048.0,5447346.0,5776360.0,6395725.0,7349202.0,8213959.0,8544255.0,9444140.0,10751622.0,11580149.0,12597171.0,13793729.0,15292924.0,16387536.0,16973133.0,16959455.0,16724440.0,17584969.0
