root/EastAsia&Pacific,root,59.895301818847706,242.88067245483413,207.1534786224365,244.20678520202642,148.0627784729003,211.79966354370123,205.75827598571777,286.6858825683593,305.7994194030762,191.9122543334961,305.2322463989258,214.6310043334961,369.606050491333,303.61609172821045,360.7589101791383,319.6885814666747,341.10442590713495,284.1552667617798,129.129529953003,112.5353393554688,34.9355697631836
root/EastAsia&Pacific/Australia,root/EastAsia&Pacific,59.895301818847706,0,0,57.8954887390137,0,0,0,0,56.366539001464794,55.2835006713867,53.91487121582029,53.1245002746582,53.5788383483887,54.29341125488279,53.2498092651367,0,54.1935882568359,54.3191413879395,0,0,0
root/EastAsia&Pacific/BruneiDarussalam,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.8867683410645,0
root/EastAsia&Pacific/China,root/EastAsia&Pacific,0,0,35.6809310913086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&Pacific/HongKongSARChina,root/EastAsia&Pacific,0,0,0,0,0,0,0,74.5787734985352,73.4719161987305,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&Pacific/Indonesia,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,42.7912712097168,0,0,0,25.723569869995103,22.8061199188232,24.2662696838379,24.865280151367198,27.6714305877686,0,0
root/EastAsia&Pacific/Japan,root/EastAsia&Pacific,0,56.671878814697294,54.354118347168,51.4959487915039,54.392120361328104,56.5320510864258,51.5664405822754,46.82331848144529,52.5268898010254,48.3958015441895,50.6680908203125,48.4870414733887,0,44.5573806762695,48.9245681762695,49.2052116394043,46.983558654785206,42.8033409118652,0,0,0
root/EastAsia&Pacific/KoreaRep,root/EastAsia&Pacific,0,44.965370178222706,47.7637596130371,0,0,54.9281806945801,45.8429183959961,44.591648101806605,45.7054214477539,44.4990310668945,45.4585113525391,44.7121810913086,43.268218994140604,0,0,41.967258453369105,44.631099700927706,46.356231689453104,47.379459381103494,0,0
root/EastAsia&Pacific/LaoPDR,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,37.787651062011705,47.2681694030762,34.6009902954102,36.1924705505371,36.4361114501953,35.0680618286133,0,0,0
root/EastAsia&Pacific/MacaoSARChina,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,56.221530914306605,31.584129333496104,22.624090194702102,16.3808994293213,42.232879638671896,50.0848808288574,54.078639984130895,0,0
root/EastAsia&Pacific/Malaysia,root/EastAsia&Pacific,0,34.4152412414551,31.712049484252898,24.328340530395497,21.878780364990202,18.6384506225586,23.395029067993196,41.679050445556605,0,43.7339210510254,34.9016304016113,0,49.997718811035206,63.043239593505895,74.27394104003909,49.251949310302706,48.6219482421875,0,0,54.6485710144043,0
root/EastAsia&Pacific/Mongolia,root/EastAsia&Pacific,0,37.6069984436035,37.6426200866699,38.6951293945313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&Pacific/Myanmar,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.3384208679199,0,0,0,0,0,34.9355697631836
root/EastAsia&Pacific/Philippines,root/EastAsia&Pacific,0,69.2211837768555,0,71.791877746582,71.791877746582,81.7009811401367,84.9538879394531,79.0130920410156,77.72865295410159,0,77.4978713989258,68.30728149414061,66.8757705688477,0,0,0,0,0,0,0,0
root/EastAsia&Pacific/Thailand,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.61256980896,28.2742900848389,21.6974906921387,20.0640697479248,0,0,0
root/EastAsia&Pacific/TimorLeste,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,42.3162612915039,48.0237617492676,13.270250320434599,57.9326515197754,3.99815988540649,10.5942602157593,0,0,0
root/EastAsia&Pacific/Vietnam,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,19.5600605010986,14.8459997177124,15.140700340271001,17.6777305603027,18.0433197021484,0,0,0,0
root/Europe&CentralAsia,root,0,998.8178672790528,1183.8666152954102,1259.308738708496,1529.9105834960938,1574.4565334320068,1619.764877319336,1753.0876903533938,1654.3529357910156,1853.0395011901855,1926.969497680664,1876.634578704834,1975.1780166625977,2065.2055473327637,2011.2904014587402,1676.4571876525877,2104.8507041931152,2036.8588485717773,467.78072166442877,235.7935180664063,0
root/Europe&CentralAsia/Albania,root/Europe&CentralAsia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.18563842773439,0,66.318962097168,0,0
root/Europe&CentralAsia/Andorra,root/Europe&CentralAsia,0,0,0,0,0,0,0,0,0,38.567478179931605,48.720329284668,54.671989440918,59.3781318664551,59.3781318664551,59.3781318664551,0,0,0,0,0,0
root/Europe&CentralAsia/Armenia,root/Europe&CentralAsia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.9191513061523,95.5863189697266,94.1359100341797,94.89293670654301,99.1028289794922,0
root/Europe&CentralAsia/Austria,root/Europe&CentralAsia,0,64.5378875732422,64.3813934326172,65.8533401489258,56.176700592040994,60.341968536377,56.4009590148926,57.764339447021506,57.9064788818359,59.267238616943395,58.293338775634794,59.076690673828104,58.676830291748,56.543918609619105,59.0815582275391,60.5927505493164,60.4485397338867,62.1318016052246,0,0,0
