root/EastAsia&PacificAustralia,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1,0,0,0,0,0,0,0,0,66.7,0,0,0,0,0,0,70.8,0,0,72.3,65.2,0,0,62.0,0,0,67.8,0,0,0,66.9,0
root/EastAsia&PacificCambodia,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,21.8,0,23.8,0,0,0,0,40.0,0,0,0,0,50.5,0,0,0,56.3,0,0,0
root/EastAsia&PacificChina,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,0,0,74.0,0,0,71.1,0,0,0,84.6,0,90.6999969482,90.4000015259,91.0999984741,83.8,0,83.0,83.8,86.9,0,0,0,0,84.6,0,89.3,89.0,89.1,88.6,87.9,0,0,0,0,0
root/EastAsia&PacificFiji,root,0,0,0,0,0,0,0,0,0,0,0,40.9,0,0,0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9,0,0,44.0,0,35.0,0,0,0,0,43.1,0,0,31.77,0,44.3,0,0,0,0,0
root/EastAsia&PacificGuam,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&PacificHongKongSARChina,root,0,0,0,0,42.0,0,0,0,0,49.6,0,0,0,0,71.9,0,0,0,0,72.3,0,0,0,0,80.8,0,0,0,0,86.2,0,0,0,0,86.0,0,0,0,0,86.2,0,0,0,0,79.5,0,0,0,0,74.8,0,0,0,0,0
root/EastAsia&PacificIndonesia,root,0,0,0,0,0,0,0,0,0,0,8.6,0,0,26.3,0,0,31.2,0,0,0,0,0,38.5,0,47.7,0,0,0,49.7,0,53.1,54.7,54.2,54.2,57.4,55.4,55.4,54.8,52.5,54.2,60.3,56.7,57.9,57.9,61.4,61.4,60.6,61.0,61.3,61.9,62.0,61.6,61.5,59.4,60.9
root/EastAsia&PacificJapan,root,42.0,44.6,55.5,0,53.0,0,52.1,0,52.6,0,59.3,0,60.5,0,60.4,0,62.2,0,0,0,0,57.3,0,62.8,64.5,56.3,0,57.9,0,64.0,0,58.6,0,56.6,60.4,54.1,0,55.9,0,0,0,52.0,54.3,0,0,0,0,0,0,0,0,54.7,39.8,0,0
root/EastAsia&PacificKiribati,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,0,36.1,0,0,0,21.5,0,0,0,20.0,22.3,0,0,0,0,0,0,0,0
root/EastAsia&PacificKoreaDemPeople’sRep,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9,61.9,0,0,0,62.0,67.3,0,0,0,0,68.6,0,0,0,0,0,0,0,70.6,0,0,0,78.2,0,0,0
root/EastAsia&PacificKoreaRep,root,0,0,16.0,20.0,0,0,0,0,24.5,0,0,34.9,0,44.2,0,0,54.5,0,0,57.7,0,0,70.4,0,0,77.1,0,0,79.4,0,0,77.4,0,0,80.5,0,0,79.3,0,0,84.5,0,80.2,79.6,0,0,80.0,0,0,77.1,0,0,79.6,0,0
root/EastAsia&PacificLaoPDR,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,0,20.0,0,0,0,0,32.2,0,0,0,0,38.4,0,0,0,0,0,0,49.8,0,0,0,0,0
root/EastAsia&PacificMalaysia,root,0,0,0,0,8.7,0,0,0,0,0,0,33.0,0,0,0,0,0,0,0,0,0,51.4,0,0,0,48.3,50.1,0,0,0,0,55.1,0,0,0,0,0,0,0,0,0,49.0,0,0,0,0,0,0,0,0,0,52.2,0,0,0
root/EastAsia&PacificMarshallIslands,root,0,0,0,0,0,0,0,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,0,0,0,0,0,0,0,0,37.0,0,0,0,0,0,0,34.0,0,0,0,0,0,44.6,0,0,0,0,0,0,0,0,0,0
root/EastAsia&PacificMicronesiaFedSts,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,0,0,0,0,0,23.0,0,0,0,0,55.0,0,0,0,0,0,0,0,0
root/EastAsia&PacificMongolia,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.3,0,0,0,59.9,0,67.4,0,0,69.0,0,66.0,0,0,55.2,0,54.9,0,0,0,54.6,0,0,0
root/EastAsia&PacificMyanmar,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,32.7,0,0,0,37.0,0,34.3,0,0,0,41.0,0,0,46.0,0,0,0,0,0,52.2,0
root/EastAsia&PacificNauru,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6,0,0,0,0,0,0,0,0,0,0
root/EastAsia&PacificNewZealand,root,0,0,0,0,0,0,0,0,0,0,0,0,0,70.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&PacificNorthernMarianaIslands,root,0,0,0,0,0,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&PacificPalau,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,0,0,32.8,0,0,0,21.0,0,0,22.26,0,0,0,0,0,0,0
root/EastAsia&PacificPapuaNewGuinea,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9,25.9,0,0,0,0,0,0,0,0,0,32.4,0,0,0,0,0,0,0,0,0,0
