root/Europe&CentralAsia/Bulgaria,root/Europe&CentralAsia,0,0,0.46,0.66,0.7,0.68,0.92,1.05,1.28,1.51,1.69,1.49,1.11
root/Europe&CentralAsia/Croatia,root/Europe&CentralAsia,0,0,0.75,0.67,0.76,0.89,1.24,1.34,1.27,1.59,1.77,1.66,1.26
root/Europe&CentralAsia/Cyprus,root/Europe&CentralAsia,0,0,0,0.78,0.57,0.83,1.08,1.25,1.28,1.47,1.77,1.61,1.23
root/Europe&CentralAsia/CzechRepublic,root/Europe&CentralAsia,0,0,0.85,0.72,0.77,0.81,1.08,1.3,1.37,1.75,1.93,1.67,1.17
root/Europe&CentralAsia/Denmark,root/Europe&CentralAsia,0,0,1.08,1.05,1.01,1.09,1.51,1.58,1.54,2.0,2.02,2.01,1.55
root/Europe&CentralAsia/Estonia,root/Europe&CentralAsia,0,0,0.33,0.45,0.6,0.58,0.94,1.23,1.18,1.54,1.76,1.46,1.14
root/Europe&CentralAsia/Finland,root/Europe&CentralAsia,0,0,1.2,1.17,1.06,1.12,1.54,1.55,1.57,1.94,2.08,1.89,1.45
root/Europe&CentralAsia/France,root/Europe&CentralAsia,0,0,1.17,1.11,0.99,1.05,1.42,1.48,1.52,1.98,1.91,1.79,1.39
root/Europe&CentralAsia/Georgia,root/Europe&CentralAsia,0,0,0,0.46,0,0.48,0.73,0.86,1.09,1.13,1.34,1.24,0.76
root/Europe&CentralAsia/Germany,root/Europe&CentralAsia,0,0,1.12,0.96,0.91,1.03,1.46,1.55,1.56,1.9,1.96,1.8,1.39
root/Europe&CentralAsia/Greece,root/Europe&CentralAsia,0,0,0.88,0.65,0.72,0.78,1.14,1.16,1.23,2.05,2.06,1.98,1.54
root/Europe&CentralAsia/Hungary,root/Europe&CentralAsia,0,0,0.74,0.72,0.81,0.94,1.3,1.3,1.27,1.67,1.84,1.58,1.18
root/Europe&CentralAsia/Iceland,root/Europe&CentralAsia,0,0,0,1.12,1.05,1.16,1.64,1.86,1.15,1.71,1.99,1.85,1.69
