root/Europe&CentralAsia,root,0,0,0,0,0,0,0,0,82.3,33.3,35.6,0,38.0,39.3,328.00000000000006,85.4,127.0,367.59999999999997,135.0,404.80000000000007,339.8,373.29999999999995,500.90000000000003,614.0,1239.6000000000004,1604.9000000000003,1611.8,1634.6000000000001,1676.0000000000002,1585.8999999999996,1653.5000000000002,1697.1000000000006,1693.6000000000004,1659.3,1704.1,1583.0000000000002,1419.2999999999995,314.8
root/Europe&CentralAsia/Albania,root/Europe&CentralAsia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.1,0,0,0,0,0,40.4,0,0,39.2,0,0,39.0,0,0,0,37.8,0,0,0,0
root/Europe&CentralAsia/Armenia,root/Europe&CentralAsia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2,0,43.9,43.5,42.2,45.8,44.7,38.8,40.0,38.4,37.5,39.4,38.6,38.7,39.4,40.1,40.7,40.2
root/Europe&CentralAsia/Austria,root/Europe&CentralAsia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,38.5,37.5,38.3,38.7,38.6,39.3,38.4,38.7,38.4,38.9,38.6,38.4,0
root/Europe&CentralAsia/Azerbaijan,root/Europe&CentralAsia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,0,0,0,0,0,44.5,30.3,31.0,29.7,30.2,0,0,0,0,0,0,0,0,0,0,0
root/Europe&CentralAsia/Belarus,root/Europe&CentralAsia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1,39.4,39.1,38.9,38.8,37.6,35.9,36.5,37.1,38.4,36.8,37.0,37.5,36.3,36.1,36.2,36.7,36.4,36.9
root/Europe&CentralAsia/Belgium,root/Europe&CentralAsia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,39.1,38.2,36.9,38.0,37.2,37.2,37.2,36.8,36.4,36.4,36.9,36.5,0
root/Europe&CentralAsia/BosniaandHerzegovina,root/Europe&CentralAsia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8,0,0,41.8,0,0,40.7,0,0,0,40.7,0,0,0,40.5,0
root/Europe&CentralAsia/Bulgaria,root/Europe&CentralAsia,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7,43.0,41.0,40.9,42.2,41.1,42.7,42.8,43.9,0,0
root/Europe&CentralAsia/Croatia,root/Europe&CentralAsia,0,0,0,0,0,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7,39.4,39.2,39.4,39.1,39.1,38.1,0
