root/EastAsia&PacificAustralia,root,62955.4140625,63482.58984375,65790.4453125,66261.71875,66444.0703125,68291.4609375,70393.7109375,72167.40625,74430.2421875,75426.1171875,76006.5234375,77501.28125,78172.46875,79912.25,79649.0546875,79820.3125,80256.9609375,81063.90625,82159.390625,81937.6484375,82400.15625,84570.9921875,86148.7890625,87834.6640625,88339.28125,89515.015625,91149.21875
root/EastAsia&PacificBruneiDarussalam,root,208330.578125,210992.265625,204223.53125,203270.515625,204716.6875,204163.953125,194550.796875,186908.03125,185925.78125,184403.390625,185055.28125,187727.59375,188441.03125,184638.0,180825.046875,186025.78125,183284.140625,176696.90625,170475.875,171639.75,173829.796875,171337.828125,163945.375,158602.140625,155228.8125,149853.59375,167876.4375
root/EastAsia&PacificCambodia,root,2233.23291015625,2329.2939453125,2352.3349609375,2499.69506835938,2576.61010742188,2633.97802734375,2728.82299804688,2803.84912109375,2948.32397460938,3072.96411132813,2989.64599609375,3104.41796875,3304.35107421875,3610.14990234375,3916.92504882813,4154.98193359375,4373.7099609375,4477.8837890625,4324.06103515625,4446.83984375,4661.90283203125,4900.60009765625,5168.23779296875,5423.65576171875,5704.6982421875,5993.38720703125,6176.76513671875
root/EastAsia&PacificChina,root,2972.80102539063,3326.07202148438,3726.07495117188,4155.5,4570.10205078125,4949.7509765625,5353.06884765625,5736.77099609375,6120.7177734375,6553.7578125,7053.3759765625,7624.64697265625,8304.69140625,9067.9482421875,10012.6123046875,11209.3876953125,12703.79296875,13951.9931640625,15201.9296875,16777.576171875,18326.943359375,19730.35546875,21230.380859375,22763.43359375,24324.41796875,25987.580078125,27152.833984375
root/EastAsia&PacificFiji,root,16201.9423828125,16861.927734375,17004.470703125,17532.9375,17575.04296875,18303.875,17840.3046875,18050.05078125,19667.357421875,19353.181640625,19520.123046875,19986.62890625,19961.97265625,20043.83203125,19956.30078125,20766.740234375,20975.349609375,20742.52734375,19895.146484375,20033.708984375,20228.076171875,20248.474609375,20806.2421875,21284.416015625,22374.46484375,22680.884765625,22043.283203125
root/EastAsia&PacificFrenchPolynesia,root,55418.39453125,55981.46484375,56300.4921875,57625.70703125,59409.33984375,60757.52734375,62913.08984375,64414.66015625,65979.6484375,69118.203125,70534.5625,73577.046875,76150.7578125,79776.578125,82516.1953125,85959.421875,88868.6015625,90890.375,88952.046875,93545.5234375,97648.09375,100080.3671875,100930.9296875,101557.4921875,103203.8203125,104233.1328125,103455.921875
root/EastAsia&PacificGuam,root,40972.859375,41784.15625,43095.8203125,45398.8125,47208.1953125,48820.125,51660.15625,52103.296875,57306.73046875,61018.34765625,60531.07421875,61470.3125,61841.6875,63404.87109375,65049.796875,68137.25,71383.21875,72137.4765625,69321.6953125,70282.71875,76070.5625,75541.2734375,75762.4140625,73134.25,73777.6328125,73554.1171875,73106.6875
root/EastAsia&PacificHongKongSARChina,root,55728.72265625,59246.80859375,62540.8046875,65430.91796875,66528.8671875,68123.8515625,69830.4921875,65829.7265625,67317.5078125,70295.15625,69745.75,71324.046875,73717.0703125,78590.21875,82927.359375,87100.8125,90874.8359375,92047.6796875,90576.4609375,96559.6171875,98598.265625,98226.765625,99469.9609375,101525.8828125,103228.484375,104957.6484375,106209.8984375
root/EastAsia&PacificIndonesia,root,12119.466796875,12431.3095703125,12934.51171875,13589.1474609375,14366.962890625,15124.517578125,15540.71484375,13122.205078125,12894.9326171875,13206.2353515625,13416.169921875,13856.3974609375,14272.5498046875,14858.3017578125,15653.498046875,16189.5654296875,17013.8046875,17584.87890625,17844.5234375,18522.123046875,19292.0859375,20051.15234375,20884.94921875,21613.412109375,22865.982421875,23380.791015625,23787.86328125
root/EastAsia&PacificJapan,root,60545.078125,60281.02734375,60271.34375,60773.78515625,62366.3984375,63950.515625,64112.609375,63876.11328125,64301.00390625,66281.2890625,66901.9921875,67717.0859375,68813.6953125,70244.2890625,71111.515625,71828.5859375,72476.1875,71843.9140625,68904.1484375,72075.59375,72245.6640625,73457.9140625,74247.609375,73925.5,74460.546875,74554.953125,74426.71875
root/EastAsia&PacificKoreaDemPeople’sRep,root,3905.47998046875,3572.86694335938,3341.166015625,3202.626953125,3035.9619140625,2827.67407226563,2614.65893554688,2558.65698242188,2677.85595703125,2665.541015625,2734.0869140625,2743.15795898438,2766.712890625,2797.94506835938,2873.919921875,2824.162109375,2765.85498046875,2820.15600585938,2768.99194335938,2729.68408203125,2724.73901367188,2735.64697265625,2741.61303710938,2746.69995117188,2694.93798828125,2720.36108398438,2752.02587890625
root/EastAsia&PacificKoreaRep,root,28571.4609375,29759.369140625,31480.328125,33304.3125,35482.6953125,37450.25390625,38927.98046875,38982.12890625,42466.65234375,44396.10546875,45496.109375,47556.75390625,49043.9765625,50498.47265625,52032.46484375,54114.15625,56446.859375,57911.09375,58721.5546875,61840.09765625,63160.203125,63576.6171875,64555.0234375,65326.35546875,66500.53125,67771.4921875,67955.890625
root/EastAsia&PacificLaoPDR,root,3719.84692382813,3828.8701171875,3953.93505859375,4175.82421875,4361.9638671875,4567.31298828125,4775.90283203125,4854.98681640625,5094.7001953125,5271.98681640625,5440.2021484375,5630.28076171875,5834.212890625,6055.51513671875,6334.23583984375,6682.02392578125,6978.10107421875,7304.35888671875,7630.85009765625,8067.7568359375,8518.111328125,8999.7080078125,9519.9384765625,10037.0361328125,10556.638671875,11070.041015625,10973.1826171875
