root/Amber,root,223.0,244.0,284.0,338.0,349.0,468.0,471.0,446.0,497.0,576.0,686.0,673.0,712.0,768.0,864.0,793.0,722.0,672.0,592.0,539.0,497.0,366.0
root/Anne,root,318.0,353.0,385.0,431.0,477.0,531.0,565.0,520.0,596.0,580.0,749.0,787.0,868.0,949.0,968.0,976.0,915.0,927.0,953.0,921.0,901.0,877.0
root/Anouk,root,169.0,209.0,256.0,329.0,397.0,446.0,492.0,491.0,596.0,682.0,617.0,648.0,652.0,655.0,870.0,955.0,960.0,613.0,602.0,595.0,655.0,631.0
root/Bas,root,220.0,219.0,241.0,242.0,291.0,304.0,325.0,335.0,438.0,414.0,442.0,539.0,543.0,619.0,655.0,618.0,623.0,646.0,631.0,593.0,578.0,641.0
root/Bram,root,730.0,746.0,835.0,636.0,625.0,644.0,598.0,607.0,609.0,666.0,739.0,795.0,721.0,771.0,764.0,727.0,741.0,618.0,552.0,529.0,507.0,499.0
root/Charlotte,root,210.0,228.0,276.0,314.0,289.0,254.0,275.0,295.0,270.0,300.0,317.0,342.0,358.0,409.0,414.0,425.0,406.0,439.0,468.0,491.0,505.0,429.0
root/Cornelis,root,182.0,172.0,176.0,205.0,190.0,207.0,232.0,255.0,261.0,239.0,277.0,323.0,388.0,347.0,383.0,412.0,424.0,423.0,448.0,495.0,510.0,504.0
root/Daan,root,751.0,724.0,864.0,866.0,812.0,902.0,912.0,830.0,911.0,959.0,1030.0,1094.0,1238.0,1098.0,986.0,916.0,913.0,655.0,665.0,509.0,540.0,460.0
root/Daniël,root,308.0,287.0,308.0,361.0,370.0,374.0,440.0,416.0,475.0,501.0,540.0,514.0,611.0,605.0,577.0,583.0,583.0,632.0,556.0,591.0,574.0,602.0
root/David,root,285.0,308.0,299.0,319.0,339.0,309.0,319.0,351.0,350.0,375.0,378.0,435.0,381.0,400.0,450.0,432.0,405.0,463.0,461.0,445.0,378.0,397.0
root/Dylan,root,240.0,265.0,312.0,311.0,314.0,349.0,422.0,389.0,383.0,435.0,466.0,443.0,494.0,541.0,554.0,525.0,492.0,443.0,366.0,407.0,421.0,679.0
root/Eline,root,264.0,258.0,260.0,311.0,362.0,338.0,379.0,344.0,370.0,396.0,392.0,410.0,395.0,369.0,461.0,419.0,496.0,498.0,466.0,505.0,535.0,515.0
root/Emma,root,700.0,659.0,651.0,711.0,688.0,778.0,664.0,637.0,647.0,729.0,748.0,837.0,701.0,696.0,755.0,780.0,664.0,468.0,432.0,382.0,351.0,305.0
root/Eva,root,562.0,539.0,577.0,600.0,649.0,595.0,606.0,598.0,617.0,663.0,626.0,679.0,686.0,717.0,715.0,656.0,675.0,557.0,567.0,558.0,538.0,515.0
root/Femke,root,307.0,348.0,401.0,430.0,427.0,483.0,450.0,501.0,574.0,531.0,691.0,695.0,665.0,750.0,695.0,641.0,584.0,521.0,442.0,353.0,328.0,286.0
root/Fleur,root,502.0,507.0,539.0,561.0,572.0,529.0,528.0,590.0,632.0,605.0,660.0,725.0,871.0,892.0,1023.0,671.0,372.0,346.0,281.0,300.0,292.0,256.0
root/Floris,root,325.0,319.0,340.0,377.0,376.0,342.0,373.0,373.0,387.0,334.0,337.0,362.0,353.0,304.0,306.0,310.0,307.0,291.0,287.0,231.0,260.0,223.0
root/Gijs,root,415.0,390.0,452.0,479.0,479.0,452.0,482.0,435.0,402.0,422.0,426.0,486.0,444.0,509.0,435.0,445.0,401.0,352.0,297.0,255.0,243.0,204.0
root/Ilse,root,164.0,166.0,189.0,189.0,257.0,298.0,299.0,304.0,294.0,323.0,442.0,438.0,508.0,573.0,611.0,583.0,342.0,309.0,291.0,281.0,322.0,362.0
root/Iris,root,254.0,298.0,300.0,349.0,403.0,403.0,507.0,572.0,605.0,688.0,709.0,802.0,811.0,847.0,895.0,871.0,875.0,854.0,815.0,886.0,1030.0,1059.0
root/Jan,root,340.0,344.0,341.0,419.0,391.0,415.0,465.0,434.0,496.0,489.0,534.0,601.0,558.0,638.0,660.0,722.0,662.0,744.0,683.0,750.0,736.0,779.0
root/Jasper,root,206.0,227.0,280.0,326.0,377.0,378.0,395.0,445.0,454.0,521.0,534.0,584.0,581.0,550.0,529.0,568.0,583.0,534.0,536.0,579.0,517.0,564.0
root/Jelle,root,192.0,221.0,235.0,227.0,276.0,301.0,311.0,290.0,360.0,347.0,384.0,446.0,493.0,500.0,579.0,615.0,601.0,608.0,515.0,536.0,471.0,420.0
root/Jesse,root,533.0,631.0,581.0,671.0,690.0,703.0,771.0,769.0,776.0,739.0,664.0,664.0,760.0,650.0,723.0,792.0,684.0,686.0,598.0,592.0,565.0,345.0
root/Johanna,root,169.0,171.0,179.0,204.0,198.0,240.0,230.0,253.0,250.0,304.0,296.0,361.0,379.0,384.0,466.0,438.0,498.0,481.0,527.0,540.0,661.0,707.0
root/Johannes,root,199.0,233.0,251.0,285.0,307.0,314.0,300.0,350.0,355.0,371.0,449.0,503.0,487.0,583.0,646.0,663.0,671.0,690.0,809.0,798.0,926.0,965.0
root/Joris,root,195.0,170.0,226.0,194.0,225.0,199.0,229.0,248.0,254.0,276.0,268.0,238.0,312.0,297.0,276.0,275.0,320.0,289.0,325.0,329.0,370.0,343.0
root/Julia,root,605.0,621.0,568.0,653.0,698.0,716.0,708.0,690.0,655.0,662.0,681.0,725.0,787.0,777.0,767.0,914.0,745.0,566.0,404.0,362.0,251.0,235.0
root/Koen,root,245.0,255.0,270.0,328.0,352.0,389.0,414.0,400.0,427.0,419.0,444.0,477.0,488.0,503.0,532.0,567.0,615.0,581.0,559.0,542.0,606.0,589.0
root/Lars,root,508.0,518.0,596.0,653.0,642.0,732.0,737.0,674.0,824.0,793.0,882.0,947.0,959.0,952.0,876.0,882.0,819.0,757.0,748.0,625.0,583.0,457.0
root/Lieke,root,475.0,480.0,520.0,621.0,643.0,694.0,719.0,673.0,644.0,598.0,463.0,519.0,408.0,433.0,349.0,326.0,259.0,279.0,268.0,250.0,248.0,258.0
root/Lisa,root,520.0,576.0,601.0,618.0,642.0,621.0,556.0,601.0,683.0,655.0,687.0,821.0,894.0,923.0,1028.0,1036.0,973.0,962.0,988.0,988.0,1036.0,1058.0
