root/Europe&CentralAsiaMoldova,root,0,0,0,0,0,0,0,0,0,0,10000.0,90000.0,0,0,0,0,0,0,10000.0,0,0,0,220000.0,10000.0,10000.0,0,10000.0,20000.0,30000.0,10000.0,0,0
root/Europe&CentralAsiaMontenegro,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000.0,10000.0,0
root/Europe&CentralAsiaSerbia,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000.0,0,0,210000.0,7460000.0,7270000.0,21500000.0,11450000.0,100000.0,12540000.0,140000.0,110000.0,120000.0,450000.0,70000.0,70000.0
root/Europe&CentralAsiaSlovenia,root,0,0,0,0,0,0,0,0,0,0,0,0,0,100000.0,0,10000.0,10000.0,0,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0
root/Europe&CentralAsiaTajikistan,root,0,0,0,0,0,0,0,0,0,0,0,30000.0,0,90000.0,80000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/Europe&CentralAsiaTurkey,root,0,0,0,0,0,0,0,0,0,0,140000.0,890000.0,0,0,0,0,0,0,0,0,10000.0,50000.0,70000.0,50000.0,20000.0,0,60000.0,60000.0,70000.0,70000.0,60000.0,80000.0
root/Europe&CentralAsiaUkraine,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000.0,10000.0,10000.0,0,0,40000.0,60000.0,0
root/LatinAmerica&CaribbeanArgentina,root,0,0,0,0,0,0,0,0,0,0,0,10000.0,30000.0,0,0,0,130000.0,510000.0,0,80000.0,30000.0,70000.0,140000.0,120000.0,90000.0,40000.0,100000.0,80000.0,120000.0,130000.0,110000.0,110000.0
root/LatinAmerica&CaribbeanBolivia,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0
root/LatinAmerica&CaribbeanBrazil,root,0,0,0,0,0,0,0,140000.0,250000.0,470000.0,70000.0,830000.0,340000.0,930000.0,860000.0,620000.0,860000.0,1270000.0,370000.0,880000.0,1140000.0,1200000.0,3800000.0,1810000.0,1420000.0,8100000.0,8250000.0,6470000.0,4730000.0,3690000.0,3070000.0,2300000.0
root/LatinAmerica&CaribbeanChile,root,0,0,0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0,50000.0,70000.0,60000.0,50000.0,50000.0,90000.0,130000.0,100000.0,90000.0,40000.0,90000.0,70000.0,70000.0,80000.0,100000.0,60000.0
root/LatinAmerica&CaribbeanColombia,root,0,0,0,0,0,0,0,0,0,10000.0,0,0,30000.0,0,10000.0,0,0,10000.0,0,0,10000.0,10000.0,100000.0,40000.0,0,20000.0,70000.0,70000.0,80000.0,30000.0,70000.0,210000.0
root/LatinAmerica&CaribbeanCostaRica,root,0,0,0,0,0,0,0,0,0,0,0,20000.0,0,0,0,0,150000.0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,0
root/LatinAmerica&CaribbeanCuba,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,150000.0,0,90000.0,0,10000.0,10000.0,60000.0,0,10000.0,170000.0,100000.0,110000.0,40000.0,50000.0,260000.0
root/LatinAmerica&CaribbeanDominicanRepublic,root,0,0,0,0,0,0,0,0,0,0,290000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/LatinAmerica&CaribbeanEcuador,root,0,0,0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0,150000.0,0,0,0,0,0,0,0,0,0,0,0,10000.0,0,0,0
root/LatinAmerica&CaribbeanElSalvador,root,0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0,0,0,90000.0,0,0,0,0,0,40000.0,0,170000.0,120000.0,70000.0,20000.0,30000.0,0,0,0
root/LatinAmerica&CaribbeanGuatemala,root,0,0,0,0,0,0,0,0,0,0,0,170000.0,0,40000.0,0,0,250000.0,0,0,0,0,20000.0,0,60000.0,0,120000.0,0,30000.0,0,0,0,0
root/LatinAmerica&CaribbeanHaiti,root,0,0,0,0,0,0,0,0,0,0,300000.0,0,0,90000.0,90000.0,0,0,0,0,290000.0,250000.0,160000.0,170000.0,180000.0,0,110000.0,470000.0,10000.0,100000.0,160000.0,0,10000.0
root/LatinAmerica&CaribbeanHonduras,root,0,0,0,0,0,0,0,0,0,0,0,0,0,360000.0,120000.0,20000.0,150000.0,0,0,0,0,0,0,60000.0,0,0,0,10000.0,0,0,0,0
root/LatinAmerica&CaribbeanJamaica,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0,0,0
root/LatinAmerica&CaribbeanMexico,root,0,0,0,0,0,0,0,0,110000.0,0,0,0,0,20000.0,0,0,60000.0,110000.0,0,80000.0,120000.0,110000.0,120000.0,100000.0,50000.0,30000.0,90000.0,80000.0,90000.0,170000.0,100000.0,90000.0
root/LatinAmerica&CaribbeanNicaragua,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000.0,0,0,20000.0,40000.0,50000.0,10000.0,0
root/LatinAmerica&CaribbeanParaguay,root,0,0,0,0,0,0,0,0,0,0,80000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/LatinAmerica&CaribbeanPeru,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000.0,60000.0,0,0,10000.0,0,60000.0,0,40000.0,20000.0,20000.0,10000.0,20000.0,50000.0,40000.0,50000.0
root/LatinAmerica&CaribbeanStLucia,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000.0,0,0,0,0,0,0
root/LatinAmerica&CaribbeanStVincentandtheGrenadines,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,140000.0,0,0,0,0,0
root/LatinAmerica&CaribbeanSuriname,root,0,0,0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/LatinAmerica&CaribbeanUruguay,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,80000.0,0,10000.0,10000.0,20000.0,90000.0,110000.0,60000.0,40000.0,90000.0,70000.0,80000.0,80000.0,80000.0,90000.0
root/LatinAmerica&CaribbeanVenezuelaRB,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000.0,110000.0,0,80000.0,100000.0,110000.0,150000.0,120000.0,100000.0,150000.0,90000.0,60000.0,140000.0,210000.0,230000.0,200000.0
root/MiddleEast&NorthAfricaAlgeria,root,0,0,0,0,0,0,0,0,40000.0,0,610000.0,80000.0,90000.0,80000.0,80000.0,80000.0,60000.0,10000.0,20000.0,10000.0,10000.0,100000.0,130000.0,60000.0,60000.0,20000.0,10000.0,20000.0,20000.0,80000.0,170000.0,190000.0
root/MiddleEast&NorthAfricaEgyptArabRep,root,0,0,0,0,0,0,0,0,50000.0,0,2710000.0,10000.0,0,0,0,0,10000.0,0,0,0,20000.0,10000.0,70000.0,90000.0,30000.0,10000.0,90000.0,90000.0,120000.0,120000.0,110000.0,110000.0
root/MiddleEast&NorthAfricaIranIslamicRep,root,0,0,0,0,0,0,0,0,90000.0,20000.0,0,0,0,0,0,0,0,0,40000.0,10000.0,0,0,20000.0,0,0,0,10000.0,0,10000.0,0,0,0
root/MiddleEast&NorthAfricaIraq,root,0,0,0,0,0,0,0,0,0,150000.0,0,0,0,0,0,0,0,0,8260000.0,15150000.0,3460000.0,520000.0,370000.0,0,0,0,0,0,0,40000.0,0,10000.0
root/MiddleEast&NorthAfricaIsrael,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000.0,70000.0,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0
