root/EastAsia&PacificAmericanSamoa,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&PacificAustralia,root,0,0,0,0,0,0,0,100.0,99.3,99.3,99.4,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.4,99.3,99.2,99.1,99.1,99.1,99.1,0,99.3,0,0,0,0
root/EastAsia&PacificBruneiDarussalam,root,0,0,0,0,0,0,0,97.8,98.0,97.8,98.2,98.6,98.9,99.6,99.3,99.4,99.5,99.7,99.6,99.6,99.6,99.7,99.7,99.9,99.7,99.9,99.8,99.7,99.8,99.7,99.9,100.0,0,0
root/EastAsia&PacificCambodia,root,0,0,0,0,0,0,0,0,0,0,0,43.3,0,0,34.0,0,31.8,0,0,0,16.3,43.8,0,0,0,0,71.0,71.7,74.0,0,89.0,0,0,0
root/EastAsia&PacificChina,root,0,0,0,0,0,0,94.0,93.7,84.1,83.6,90.4,89.3,93.1,93.8,0,96.8,96.6,97.3,96.7,95.9,97.3,97.5,97.8,98.4,99.1,99.3,99.6,99.7,99.8,99.9,99.9,99.9,0,0
root/EastAsia&PacificFiji,root,0,0,0,0,0,0,95.3,94.5,0,97.6,96.2,96.2,96.3,96.2,96.7,96.4,96.9,98.4,96.9,96.7,97.0,97.2,99.3,99.0,98.8,99.8,99.7,99.6,99.3,98.8,0,0,0,0
root/EastAsia&PacificFrenchPolynesia,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&PacificGuam,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&PacificHongKongSARChina,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&PacificIndonesia,root,0,0,0,36.3,0,0,40.7,31.7,40.7,0,36.5,49.7,0,43.2,56.0,0,66.9,0,68.4,66.3,71.5,0,0,73.0,74.86,0,82.2,0,83.1,87.4,0,0,92.6,0
root/EastAsia&PacificJapan,root,0,0,0,0,0,0,99.9,0,0,0,0,99.9,100.0,0,0,0,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,0,99.8,0,0,0
root/EastAsia&PacificKiribati,root,0,0,0,0,0,0,60.0,0,0,0,72.0,0,0,0,85.0,0,85.0,0,76.0,0,0,63.0,0,0,65.0,79.8,98.3,0,0,0,0,0,0,0
root/EastAsia&PacificKoreaDemPeople’sRep,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.7,0,0,0,97.1,0,0,0,0,100.0,0,0,0,0,0,0,0,0
root/EastAsia&PacificKoreaRep,root,0,0,0,0,0,0,98.0,97.9,0,0,98.4,0,0,99.6,0,0,99.9,0,0,99.9,0,0,0,0,0,99.9,0,0,99.8,0,0,100.0,0,0
root/EastAsia&PacificLaoPDR,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,19.4,0,0,0,14.6,18.9,0,0,0,37.0,0,40.1,0,0,0,0,0
root/EastAsia&PacificMacaoSARChina,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&PacificMalaysia,root,0,0,0,0,0,0,92.8,0,0,0,0,95.1,0,0,96.2,0,96.6,96.8,97.0,97.6,98.0,98.1,98.4,98.6,98.6,98.6,98.6,98.6,98.7,98.8,98.97,0,0,0
root/EastAsia&PacificMarshallIslands,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.9,0,0,0,95.0,0,0,0,0,86.2,0,86.5,90.0,90.1,0,0,0,0,0,0
root/EastAsia&PacificMicronesiaFedSts,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,83.8,82.8,85.7,81.6,84.6,0,82.7,88.0,0,90.0,100.0,0,0,0,0,0,0,0,0
root/EastAsia&PacificMongolia,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.1,0,96.6,0,0,98.6,99.7,99.2,0,0,99.4,0,98.8,0,0,98.9,98.9,0,0,0
root/EastAsia&PacificMyanmar,root,0,0,0,0,0,0,0,46.3,0,0,0,0,0,56.4,0,0,0,57.0,0,67.5,0,0,0,63.9,0,0,70.6,0,0,0,0,0,60.2,0
root/EastAsia&PacificNauru,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.4,0,0,0,0,0,0,0,0,0,0
root/EastAsia&PacificNewZealand,root,0,0,0,0,0,0,0,0,0,0,95.0,100.0,0,0,0,92.0,97.3,96.6,99.2,98.2,94.0,94.0,97.9,95.7,0,0,96.2,96.7,0,0,96.6,0,0,0
