root/EastAsia&Pacific,root,855.0,977.0,965.0,1079.0,1024.0,1001.5,964.5,897.5,810.0,869.0,993.0999999999999,878.5,682.8,612.5,579.7
root/EastAsia&Pacific/Australia,root/EastAsia&Pacific,3.0,3.0,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
root/EastAsia&Pacific/BruneiDarussalam,root/EastAsia&Pacific,0,0,0,122.0,122.0,122.0,122.0,109.0,105.0,105.0,105.0,105.0,15.0,15.0,13.0
root/EastAsia&Pacific/Cambodia,root/EastAsia&Pacific,95.0,95.0,87.0,86.0,86.0,102.0,102.0,102.0,102.0,102.0,101.0,101.0,87.0,99.0,99.0
root/EastAsia&Pacific/China,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,32.4,29.4,29.4,26.9,22.9
root/EastAsia&Pacific/Fiji,root/EastAsia&Pacific,31.0,31.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,58.0,58.0,58.0,58.0,40.0,40.0
root/EastAsia&Pacific/HongKongSARChina,root/EastAsia&Pacific,11.0,11.0,11.0,11.0,11.0,11.0,6.0,6.0,2.5,2.5,2.5,2.5,1.5,1.5,1.5
root/EastAsia&Pacific/Indonesia,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,75.5,52.5,47.8,24.9,23.1
root/EastAsia&Pacific/Japan,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,12.7,12.1,12.1,12.2,12.2
root/EastAsia&Pacific/Kiribati,root/EastAsia&Pacific,21.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
root/EastAsia&Pacific/KoreaRep,root/EastAsia&Pacific,17.0,17.0,17.0,17.0,17.0,17.0,14.0,14.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0
root/EastAsia&Pacific/LaoPDR,root/EastAsia&Pacific,131.0,131.0,131.0,115.0,85.0,85.0,85.0,85.0,77.0,87.0,87.0,87.0,87.0,67.0,67.0
root/EastAsia&Pacific/Malaysia,root/EastAsia&Pacific,38.0,38.0,38.0,38.0,32.0,21.0,19.0,18.0,9.0,10.0,10.0,8.0,8.0,19.0,19.0
