root/EastAsia&Pacific,root,101.23346525430668,11.3000001907349,11.3999996185303,11.6999998092651,11.8000001907349,13.33999967575076,13.32000017166141,13.3000001907349,13.25000023841862,13.149999856948819,119.10369986295697,13.18000042438504,13.510000228881871,13.57000017166141,13.85000002384186,37.45749962329868,15.60939967632296,14.1700003147125,14.24000048637387,14.39999985694882,94.47909951210022,64.36529970169067,19.06750035285947,15.90469956398013,20.74359977245327,54.36639976501463,4.11420011520386,15.45790004730225,4.638700008392339,28.50100016593933,44.11549967530001,43.2319994569,34.1219994426,44.7309001088,43.87679982179999,41.32999920849999,38.95999956130001,38.5200005769,43.8299994469,37.7200002193,42.719999742400006,49.71999993320001,64.77999966620001,34.3400000953,50.4,45.75000000000001,56.08,20.09,41.5,60.300000000000004,43.7,22.43,28.4,0,0
root/EastAsia&Pacific/Australia,root/EastAsia&Pacific,11.1999998092651,11.3000001907349,11.3999996185303,11.6999998092651,11.8000001907349,11.8999996185303,11.8000001907349,11.8000001907349,11.8000001907349,11.6999998092651,11.6999998092651,11.6000003814697,11.8000001907349,11.8000001907349,12.0,11.8999996185303,11.8999996185303,12.1000003814697,12.1000003814697,12.1999998092651,12.3000001907349,12.1999998092651,12.1000003814697,11.8999996185303,11.6999998092651,10.8999996185303,0,10.5,0,9.80000019073486,0,9.1999998093,8.8999996185,8.8999996185,8.6999998093,8.6999998093,8.5,8.3000001907,8.1999998093,7.900000095399999,7.8000001907000005,7.599999904600001,4.0,0,3.9,4.0,3.97,0,0,3.8,3.9,0,0,0,0
root/EastAsia&Pacific/BruneiDarussalam,root/EastAsia&Pacific,4.90243911743164,0,0,0,0,0,0,0,0,0,3.50769996643066,0,0,0,0,0,0,0,0,0,0,2.93589997291565,2.99399995803833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5999999046,0,2.7,0,2.6,3.0,2.79,0,2.7,2.6,0,2.79,2.8,0,0
root/EastAsia&Pacific/Cambodia,root/EastAsia&Pacific,0.746548891067505,0,0,0,0,0,0,0,0,0,1.0809999704361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0987000465393097,0,2.0720999240999998,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.1,0,0,0,0,0,0.84,0.7,0,0,0
root/EastAsia&Pacific/China,root/EastAsia&Pacific,0,0,0,0,0,1.4400000572204599,1.5199999809265101,1.5,1.45000004768372,1.45000004768372,1.53999996185303,1.58000004291534,1.71000003814697,1.7699999809265101,1.85000002384186,1.91999995708466,2.0,2.0699999332428,2.14000010490417,2.2000000476837203,2.2300000190734903,2.25,2.25999999046326,2.2899999618530296,2.32999992370605,2.36999988555908,2.4000000953674303,2.4800000190734903,2.5399999618530296,2.55999994277954,2.5799999237,2.5999999046,2.6199998856,2.6300001144,2.6300001144,2.6099998951,2.5499999523,2.5499999523,2.5299999713999997,2.5199999809,2.5199999809,2.5199999809,2.4500000477,2.2,3.0,2.45,2.23,0,0,4.2,3.56,3.8,0,0,0
root/EastAsia&Pacific/Fiji,root/EastAsia&Pacific,4.04060935974121,0,0,0,0,0,0,0,0,0,2.90960001945496,0,0,0,0,3.33330011367798,0,0,0,0,2.8138999938964804,2.74609994888306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,2.1,2.09,0,0,2.1,2.1,0,0,0,0,0
root/EastAsia&Pacific/HongKongSARChina,root/EastAsia&Pacific,2.6403393745422403,0,0,0,0,0,0,0,0,0,4.17829990386963,0,0,0,0,5.04129981994629,0,0,0,0,4.02099990844727,4.10979986190796,0,0,0,4.8909001350402805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&Pacific/Indonesia,root/EastAsia&Pacific,0.740457057952881,0,0,0,0,0,0,0,0,0,0.654600024223328,0,0,0,0,0.818300008773804,0,0,0,0,0,0,0,0,0,0.5568000078201291,0,0,0,0.702600002288818,0.665199995,0.6686000228,0.6650000215,0.6575999856,0.6600999832,0,0,0,0.6,0,0,0,0.6,0,0,0,0,0,0,0,0.6,0,0.9,0,0
root/EastAsia&Pacific/Japan,root/EastAsia&Pacific,9.0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,13.6999998092651,0,0,0,0,14.6999998092651,0,0,0,0,0,0,0,15.600000381500001,15.5,15.399999618499999,15.199999809300001,15.100000381500001,15.0,14.800000190699999,14.699999809300001,12.9,14.399999618499999,14.300000190699999,13.9,14.1,13.98,0,13.8,13.7,0,0,0,0,0
root/EastAsia&Pacific/Kiribati,root/EastAsia&Pacific,6.36363649368286,0,0,0,0,0,0,0,0,0,12.3312997817993,0,0,0,0,0,0,0,0,0,5.09469985961914,4.7683000564575195,0,0,0,0,0,0,0,0,4.2718000412,0,0,0,0,0,0,0,1.7999999522999999,0,0,0,0,0,1.5,1.51,0,0,0,1.5,1.4,1.3,0,0,0
root/EastAsia&Pacific/KoreaDemPeople’sRep,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,13.2,0,0
