root/EastAsia&PacificThailand,root,1100.0,1200.0,1400.0,1700.0,1900.0,2100.0,2300.0,2400.0,2500.0,2400.0,2400.0,2300.0,2300.0,2300.0,2300.0,2600.0,2700.0,2800.0,2800.0,2900.0,2900.0,3100.0,3200.0,3300.0,3400.0,3600.0
root/EastAsia&PacificTimorLeste,root,17.0,18.0,18.0,18.0,18.0,19.0,19.0,18.0,19.0,19.0,20.0,22.0,24.0,27.0,29.0,32.0,35.0,38.0,42.0,47.0,52.0,58.0,63.0,69.0,75.0,82.0
root/EastAsia&PacificTonga,root,290.0,280.0,270.0,250.0,240.0,230.0,220.0,220.0,230.0,240.0,250.0,260.0,240.0,230.0,220.0,220.0,210.0,200.0,200.0,200.0,200.0,200.0,200.0,210.0,220.0,230.0
root/EastAsia&PacificVanuatu,root,85.0,89.0,94.0,99.0,100.0,110.0,120.0,130.0,130.0,140.0,150.0,160.0,170.0,180.0,200.0,210.0,230.0,240.0,260.0,270.0,280.0,300.0,310.0,330.0,340.0,360.0
root/EastAsia&PacificVietnam,root,180.0,190.0,210.0,240.0,270.0,300.0,350.0,400.0,450.0,510.0,560.0,610.0,660.0,710.0,750.0,800.0,830.0,830.0,840.0,830.0,810.0,850.0,850.0,850.0,870.0,870.0
root/Europe&CentralAsiaAlbania,root,430.0,450.0,490.0,520.0,690.0,660.0,730.0,760.0,890.0,1000.0,1100.0,1200.0,1400.0,1600.0,1900.0,2100.0,2200.0,2200.0,2200.0,2100.0,2000.0,2000.0,1900.0,1900.0,1900.0,1900.0
root/Europe&CentralAsiaArmenia,root,610.0,760.0,700.0,710.0,870.0,930.0,990.0,1200.0,1200.0,1500.0,1500.0,1600.0,1400.0,1400.0,1400.0,1400.0,1400.0,1600.0,1400.0,1500.0,1600.0,1800.0,1900.0,2100.0,2200.0,2300.0
root/Europe&CentralAsiaAustria,root,8100.0,8100.0,8400.0,8700.0,9000.0,10300.0,11200.0,12700.0,13500.0,13000.0,13300.0,14500.0,15100.0,15200.0,17500.0,16900.0,18300.0,18500.0,19500.0,18700.0,18600.0,18500.0,19400.0,18500.0,18300.0,18200.0
root/Europe&CentralAsiaAzerbaijan,root,420.0,430.0,350.0,370.0,350.0,400.0,480.0,550.0,650.0,750.0,980.0,1100.0,1300.0,1300.0,1400.0,1300.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1600.0,1500.0,1600.0,1600.0
root/Europe&CentralAsiaBelarus,root,1600.0,1700.0,1800.0,1800.0,2000.0,2100.0,2300.0,2500.0,2700.0,2800.0,3300.0,3700.0,3900.0,4500.0,5200.0,6100.0,7400.0,9100.0,10600.0,11700.0,12800.0,12200.0,14000.0,14100.0,13900.0,13800.0
