root/EastAsia&Pacific,root,0,0,0,357125370000.0,532800010000.0,673936480000.0,878337370000.0,8216492720000.0,9474320000000.0,11307218730000.0,10331115060000.0,48532435520000.0,27210644560137.98,27757197648776.44,27328803940638.38,30090940500354.652,41188724546347.66,45109724155642.6,45408953928153.34,46609478924514.83,37066006478750.24,76981099533129.66,91946763396375.9,67627845158533.234,55151977456583.99,64870042557187.0,60315990668534.22,117109486249395.1,166258240342331.8,223414290527770.22,1403808804752.35
root/EastAsia&Pacific/Australia,root/EastAsia&Pacific,0,0,0,390000000.0,497000000.0,625000000.0,342000000.0,244000000.0,0,0,0,0,8018000000.0,9703000000.0,17284000000.0,18606000000.0,17091000000.0,16209000000.0,17368000000.0,19730000000.0,21515000000.0,22980000000.0,24928000000.0,29037000000.0,27506000000.0,32945000000.0,31331000000.0,35036000000.0,35450000000.0,36329000000.0,0
root/EastAsia&Pacific/Cambodia,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165535860123.0,6797778644.0,29267628385.0,41276415214.0,128891674940.0,93866000000.0,67830420204.0,474269742853.0,335777760552.091,593459942864.0,351594100000.0,639503600000.0,769058114983.0,567124433662.0,825338764600.0,0
root/EastAsia&Pacific/Fiji,root/EastAsia&Pacific,0,0,0,0,0,0,0,23720000.0,0,0,0,0,0,0,0,0,0,95130000.0,103500000.0,116009877.0,0,0,0,105562600.7,87148941.98,94799877.77,97637940.52,86106877.56,76486294.24,0,0
root/EastAsia&Pacific/Indonesia,root/EastAsia&Pacific,0,0,0,0,0,0,0,792000000000.0,731000000000.0,550000000000.0,787400000000.0,368000000000.0,434600000000.0,0,0,200600000000.0,676268923852.0,610960000000.0,0,0,0,31096700000000.0,38955700000000.0,21666900000000.0,5464230000000.0,4072860000000.0,15939300000000.0,72958543615853.0,122772260646817.0,179399319878647.0,0
root/EastAsia&Pacific/Japan,root/EastAsia&Pacific,0,0,0,0,0,0,0,6165100000000.0,6955500000000.0,8152600000000.0,7342000000000.0,34638600000000.0,12538100000000.0,12605200000000.0,9638100000000.0,10661600000000.0,10717400000000.0,9219500000000.0,9240100000000.0,9236800000000.0,9059300000000.0,12770500000000.0,11888000000000.0,10053800000000.0,10971500000000.0,10372400000000.0,10221100000000.0,9181300000000.0,9297000000000.0,9056000000000.0,0
root/EastAsia&Pacific/Kiribati,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4281822.92,2306653.35,4435060.82,5611062.47,7498143.07,4960337.99,8452334.69,0
root/EastAsia&Pacific/KoreaRep,root/EastAsia&Pacific,0,0,0,354000000000.0,529000000000.0,668000000000.0,865000000000.0,1252000000000.0,1770000000000.0,2590000000000.0,2132000000000.0,13307303000000.0,13917000000000.0,15121691000000.0,17581485000000.0,18681180000000.0,29696110000000.0,35142086000000.0,36020600000000.0,37136200000000.0,27745119000000.0,32479183000000.0,39945714000000.0,34530860000000.0,36761656000000.0,47592100000000.0,30946200000000.0,30699196437200.0,30173570732282.0,31395740506863.0,0
root/EastAsia&Pacific/LaoPDR,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413821000000.0,548078000000.0,737130000000.0,949820000000.0,1026920000000.0,1064960000000.0,1208080000000.0,1269400000000.0,1331691920000.0,0
root/EastAsia&Pacific/MacaoSARChina,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,183730000.0,136060000.0,59520000.0,1697560137.98,1185648776.44,1194020638.38,1211573831.65154,1407651292.35904,1528987107.72224,2022000000.0,2673000000.0,3247345117.44801,7255439185.83,9640327947.8761,11864090863.94,6116232050.14,5781174455.4,7893181892.0,9795465401.68,11781801416.63,12549884559.08,0
root/EastAsia&Pacific/Malaysia,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,430000000.0,520000000.0,1797000000.0,2089000000.0,1988000000.0,199000000.0,1792000000.0,2706000000.0,5082000000.0,343000000.0,390802523.0,1197407256.62,849169830.28,684976820.1,1154849000.0,1137741000.0,1466358000.0,1232045000.0,1484444000.0,1108248000.0,912600000.0,0
root/EastAsia&Pacific/MarshallIslands,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12083149.0,8569513.0,10856701.0,10701448.25,12117100.0,14410590.0,13164544.0,16515037.0,18451051.0,0
root/EastAsia&Pacific/MicronesiaFedSts,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5523376.1522812005,5738668.49575,5595605.9585,7407437.2774,12522072.1824,17047320.79539,13423891.851054,13941145.851054002,13632826.0222416,0
