root/EastAsia&PacificAustralia,root,92.9503021240234,0,0,94.2830581665039,0,0,0,0,94.1902694702148,91.8915786743164,92.13134002685551,91.6634902954102,89.39132690429692,87.9050521850586,91.20187377929692,93.4061965942383,93.5452117919922,94.5340423583984,0,0,0
root/EastAsia&PacificBruneiDarussalam,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.88538360595699,0
root/EastAsia&PacificCambodia,root,0,0,0,0,0,0,0,0,0,0,0,0,100.0,100.0,99.9630813598633,100.0,100.0,98.5410003662109,0,0,0
root/EastAsia&PacificChina,root,0,0,90.10540771484379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&PacificHongKongSARChina,root,0,0,0,0,0,0,0,0,0,0,91.9345703125,92.9841766357422,92.9457321166992,92.9506683349609,91.9634475708008,95.65731811523442,0,0,0,0,0
root/EastAsia&PacificIndonesia,root,0,0,0,0,0,0,0,0,0,0,93.161376953125,93.1453628540039,93.3588485717773,92.3069610595703,91.2908401489258,92.560791015625,92.3580703735352,92.42249298095699,92.7748184204102,0,0
root/EastAsia&PacificJapan,root,0,87.2906036376953,87.5576629638672,89.0390472412109,89.5820083618164,89.7644195556641,89.9442901611328,89.9632568359375,90.5564804077148,90.4518203735352,90.7323837280273,90.70416259765629,0,87.71063232421879,87.22537231445308,88.75164794921879,88.1684799194336,87.2740631103516,0,0,0
root/EastAsia&PacificKoreaRep,root,0,80.2362594604492,84.2868576049805,0,0,80.4577178955078,78.8340225219727,79.4846572875977,81.1916198730469,88.78768920898442,89.3581085205078,88.20397186279301,83.3922805786133,0,0,84.7652969360352,85.052490234375,87.2701034545898,88.2094573974609,0,0
root/EastAsia&PacificLaoPDR,root,0,0,0,0,0,0,0,0,0,0,0,0,79.37767028808591,78.0470886230469,82.74530029296879,72.1457138061523,90.4201278686523,86.4067535400391,0,0,0
root/EastAsia&PacificMacaoSARChina,root,0,0,0,98.54369354248051,0,94.1762466430664,0,0,0,0,0,0,0,0,0,93.29425048828129,94.2722320556641,0,95.10546112060551,0,0
root/EastAsia&PacificMalaysia,root,0,86.07898712158199,73.6596298217773,66.1720504760742,60.688850402832,60.9043998718262,66.2131195068359,85.5579528808594,0,96.6050491333008,96.9690170288086,99.48851776123051,92.6884994506836,99.98706817626949,99.9814300537109,90.1200714111328,91.20416259765629,0,0,91.68543243408199,0
root/EastAsia&PacificMarshallIslands,root,0,0,0,0,0,97.38259887695308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&PacificMongolia,root,0,96.7656784057617,96.7018280029297,99.0907211303711,0,0,0,0,0,0,0,0,0,0,89.3439712524414,99.9650192260742,100.0,100.0,100.0,85.4881286621094,0
root/EastAsia&PacificMyanmar,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0993270874023,0,0,0,0,0,88.8507537841797
root/EastAsia&PacificPhilippines,root,0,92.91358184814449,0,93.1635971069336,93.1635971069336,96.6673126220703,97.3398284912109,96.6412124633789,95.1752471923828,0,92.3283462524414,87.30419158935551,89.30689239501949,0,0,0,0,0,0,0,0
root/EastAsia&PacificSingapore,root,0,0,0,0,0,0,0,0,0,0,0,91.24352264404301,89.49169158935551,87.7532196044922,93.3107528686523,94.7777328491211,96.5659866333008,0,0,0,0
root/EastAsia&PacificThailand,root,0,0,0,0,0,0,0,0,0,0,0,0,0,99.28614044189449,91.1829681396484,94.7693634033203,95.78260040283199,97.6953506469727,0,0,0
root/EastAsia&PacificTimorLeste,root,0,0,0,0,0,0,0,0,0,0,72.22161865234379,0,0,0,100.0,92.5945281982422,97.23336791992192,93.78189086914058,0,0,0
root/EastAsia&PacificVanuatu,root,0,100.0,72.20652770996091,78.29042053222659,35.8331413269043,0,0,0,0,0,0,98.7386703491211,98.1815338134766,0,0,0,0,0,0,0,0
root/EastAsia&PacificVietnam,root,0,0,0,0,0,0,0,0,0,0,0,0,74.537109375,73.2868194580078,75.4772109985352,78.7943496704102,77.2746505737305,0,0,0,0
root/Europe&CentralAsiaAlbania,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.1551666259766,0,88.2799530029297,0,0
root/Europe&CentralAsiaAndorra,root,0,0,0,0,0,0,0,0,0,97.26016235351558,98.55651092529301,97.7562637329102,99.08883666992192,97.77581787109379,98.49307250976558,98.8202362060547,98.8763427734375,97.99610137939449,98.0645523071289,98.7077407836914,0
root/Europe&CentralAsiaArmenia,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.87049102783199,0,0,0,95.8201217651367,0
root/Europe&CentralAsiaAustria,root,0,93.8951416015625,94.3512802124023,94.9424667358398,97.0620269775391,96.35204315185551,97.2206573486328,96.61065673828129,97.3278121948242,97.6040267944336,98.2101516723633,98.11717987060551,98.13543701171879,98.1357269287109,98.0755233764648,97.9999237060547,98.02932739257808,97.49520874023442,0,0,0
root/Europe&CentralAsiaAzerbaijan,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.49022674560551,0,0
root/Europe&CentralAsiaBelarus,root,0,0,0,0,0,0,0,95.1596908569336,95.1722793579102,94.9574813842773,0,0,0,0,0,0,0,0,0,0,0
root/Europe&CentralAsiaBelgium,root,0,0,0,0,98.86573028564449,97.4969329833984,96.4248580932617,97.21865844726558,97.3987197875977,0,97.0228271484375,96.3979263305664,96.95620727539058,97.1201705932617,96.99987030029301,0,96.6265335083008,96.0202178955078,0,0,0
