root/EastAsia&Pacific,root,24828.1,25554.1,23160.5,22789.7,22556.7,22479.2,22865.2,23724.7,24951.1,25431.1
root/EastAsia&Pacific/Australia,root/EastAsia&Pacific,1120.0,1120.0,1120.0,1239.0,1119.0,1119.0,1119.0,1120.0,1170.0,1220.0
root/EastAsia&Pacific/BruneiDarussalam,root/EastAsia&Pacific,0,590.0,590.0,708.0,708.0,708.0,745.0,745.0,770.0,770.0
root/EastAsia&Pacific/Cambodia,root/EastAsia&Pacific,816.0,852.0,852.0,872.0,872.0,872.0,872.0,900.0,930.0,930.0
root/EastAsia&Pacific/China,root/EastAsia&Pacific,236.5,236.5,236.5,299.8,299.8,299.8,299.8,338.3,800.0,800.0
root/EastAsia&Pacific/Fiji,root/EastAsia&Pacific,563.0,563.0,563.0,623.0,623.0,623.0,628.0,628.0,753.0,753.0
root/EastAsia&Pacific/HongKongSARChina,root/EastAsia&Pacific,425.0,525.0,525.0,633.0,583.0,600.0,565.0,565.0,565.0,565.0
root/EastAsia&Pacific/Indonesia,root/EastAsia&Pacific,526.5,526.5,485.9,514.8,514.8,514.8,514.8,514.8,646.8,646.8
root/EastAsia&Pacific/Japan,root/EastAsia&Pacific,711.1,711.1,711.1,711.1,711.1,719.6,719.6,719.6,1021.3,1021.3
root/EastAsia&Pacific/Kiribati,root/EastAsia&Pacific,1550.0,1550.0,1300.0,820.0,820.0,820.0,870.0,870.0,870.0,910.0
root/EastAsia&Pacific/KoreaRep,root/EastAsia&Pacific,1040.0,1040.0,745.0,747.0,742.0,790.0,695.0,695.0,695.0,695.0
root/EastAsia&Pacific/LaoPDR,root/EastAsia&Pacific,1690.0,1690.0,1930.0,2040.0,2040.0,2040.0,2035.0,2125.0,1910.0,1910.0
root/EastAsia&Pacific/Malaysia,root/EastAsia&Pacific,385.0,385.0,385.0,450.0,450.0,450.0,435.0,420.0,485.0,560.0
root/EastAsia&Pacific/MarshallIslands,root/EastAsia&Pacific,900.0,900.0,900.0,900.0,720.0,720.0,720.0,720.0,720.0,720.0
root/EastAsia&Pacific/MicronesiaFedSts,root/EastAsia&Pacific,1255.0,1255.0,1005.0,1005.0,1045.0,1045.0,1045.0,1045.0,1045.0,1045.0
root/EastAsia&Pacific/Mongolia,root/EastAsia&Pacific,2274.0,2274.0,2274.0,2274.0,2274.0,2274.0,2400.0,2710.0,2950.0,2950.0
root/EastAsia&Pacific/Myanmar,root/EastAsia&Pacific,0,0,0,0,0,0,0,660.0,660.0,610.0
root/EastAsia&Pacific/NewZealand,root/EastAsia&Pacific,800.0,800.0,800.0,850.0,850.0,825.0,825.0,825.0,825.0,825.0
root/EastAsia&Pacific/Palau,root/EastAsia&Pacific,1010.0,1010.0,760.0,782.0,782.0,672.0,680.0,680.0,680.0,680.0
root/EastAsia&Pacific/PapuaNewGuinea,root/EastAsia&Pacific,1048.0,1048.0,1048.0,1128.0,1128.0,1128.0,1128.0,1250.0,1250.0,1350.0
