root/EastAsia&PacificAustralia,root,18.9108455882353,19.2363863968287,19.572490706319698,19.6356629882641,19.536213468869104,19.920611584828,18.9627445725007,18.6977082575482,18.2823905109489,18.0598555211558,16.8970670651971,17.6322801674914,18.380226137260102,17.977528089887603,18.127863390254102,17.3726515114158,16.7764047984126,16.869680643398098,15.9152215799615,16.5784607536823,16.539252216369,15.2063510594828,15.4401229582932,15.321015170033801,15.074482576789599,14.8768969443563,15.352132951582698,15.617237594593,14.758745897632801,0,14.9764000921129,0,0,0,0,0,0,0,0,13.1067504078197,13.0086620557275,13.6599616097476,13.2528394741929,13.510400409461601,10.8500657520265,10.764060216175,10.330526822227599,10.1181126456009,19.4306314051525,20.971079445713897,21.3832148288192,0
root/EastAsia&PacificCambodia,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130686760322717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&PacificChina,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.549389926821398,16.697654935218598,17.2835149628092,18.283689722204798,18.993341548306198,19.2335427146593,17.568220574199,17.3476046175553,17.0641147599186,16.4546036563678,15.5483285153065,16.1274392672242,18.0610405051671,16.137859673597198,15.7898354627085,15.562312980186,14.8353989855496,14.936090591753302,15.000619882242301,14.7186038067631,14.0787814420375,14.678179710139698,15.783067694523302,27.211354093752398,26.1688779434877,25.439072913607603,25.386557736458897,24.486597789155102,0,0,0,0,0,0,0
root/EastAsia&PacificFiji,root,0,0,0,0,0,2.9497586078837097,0,2.5706800567623596,3.2982985889321204,2.7367856184598898,4.26002107911468,3.01601850639431,4.9682042612053605,5.37512481594936,6.996030717608059,4.555151587993151,3.43767798231192,3.9017603290786997,3.87772982444754,3.0500291845153904,4.18456568304988,4.13837070709871,4.78926282821102,3.04955808313492,2.3859404861197797,2.16435768709125,1.9840947601492,1.89046969401676,2.14229874029458,1.78689468409493,1.8850494269967601,2.56315260531112,0,0,0,0,0,1.1391128638440902,0.8265114191465641,1.12314306621707,1.4571723989892,1.23109958114464,1.14579462291685,1.08616885073879,0.8546916967646301,0.870537169343684,0.897385684306705,0.941253360633669,0.940143784088867,0,0,0
root/EastAsia&PacificHongKongSARChina,root,0,0,0,0,0,0,0,0,0,0,4.891555145362251,5.71264257644014,5.20402590309745,4.9182216079244405,4.433206004196481,4.5446822969758705,4.65355164041586,4.9533400837415495,5.5134746353195,6.01608721664562,6.19580696915617,6.31545422185586,5.9752720464916695,5.7159026598755,5.976090434873099,7.73891391984823,8.23650746628924,11.7173933886587,11.57863855914,11.987661077665601,11.641412526905802,11.898840050183802,13.6378519973805,13.160350272753401,13.901495840742099,15.109599288627901,12.439369288548999,11.7070233538342,9.762093448270289,10.0479095706853,10.5808107819018,21.8499090033187,24.9690762456088,28.453220727867397,24.1185126492727,26.533451746595603,25.8022347411995,31.5093961843197,28.3141456742277,26.545723805997802,25.3373228702083,27.142539407950203
root/EastAsia&PacificIndonesia,root,0,0,0,0,0,0,0,1.36403494527622,1.32020854058987,4.767049415719031,4.7060367884744805,7.21155748016129,5.92906077811066,6.91587919214378,7.5086294941241905,6.64858536006995,7.33149774352792,7.97647058823529,11.811184569370502,9.39587551374223,7.75367922437165,6.9066021752444104,6.2740412376629004,6.92595422724476,7.306699446834671,7.022873140724091,7.906265774805171,8.83685867219056,8.4237563164096,9.210603441616131,10.461441394032699,12.6778610364694,12.9576421074929,12.304071209498801,0,14.3742280563573,14.019060799958101,20.229452604979,12.9538154437603,17.2934337898607,17.4389969807494,18.5579847756953,20.110013483794802,17.952914256287,17.8418403743807,17.841766236052,18.356293588659,22.4440827335977,20.3656193802728,20.218383455840897,16.7079867831205,0
root/EastAsia&PacificJapan,root,19.1401009362484,19.2827478693244,19.0542163110742,18.7258986738315,19.801612673032103,21.6211925743137,21.0102810308511,21.726882919250396,21.7399009474666,21.1064556663421,20.877185300623,21.3398273550258,22.1059718915243,21.9204477490046,21.9243830989671,20.7799829235411,20.420075044207103,21.1583241153516,22.354076360998,22.5912723365348,22.5965936760083,22.650987536054803,23.935202593522302,22.8068915271977,22.1612011062821,22.6762801104164,23.6144598347162,24.911324174037,24.610782811702105,23.9685318626162,23.200650006310703,30.8887424765839,32.0921380534599,33.245858206452496,33.490211785911,33.394310559664895,32.9960584280083,33.9022575493612,32.8979093840478,35.0483404150502,35.9731924687465,36.3245842200678,37.207752057812,36.899106619937,37.4991945060711,39.2407267214301,35.286247022611605,37.536149170437206,0,38.149414453499396,0,0
root/EastAsia&PacificKoreaRep,root,5.53745928338762,4.71908344912566,6.09865470852018,8.14102564102564,6.66238957706164,6.63112295901366,7.96793965110797,6.826063150209889,5.45058139534884,5.35972422995663,6.6715010877447405,6.8780363078496505,6.2814161212165,7.8942848028269195,11.1758294770319,10.699769306821901,10.3192763354861,9.34469089989036,10.3431347435034,11.564475272770801,12.4808722264728,13.0080311511317,13.8070838164342,13.820935466212498,14.3324788010254,14.407676702400599,15.191050798953901,30.151889791593103,29.888969932733602,29.017308533461105,30.064594602065895,32.7526347462465,36.086773827368,36.496073839371796,37.031719385050394,35.1609490021671,38.9420564654593,41.2971056433347,41.097168510155,42.2738190552442,43.021433122637504,44.3573927331514,43.969973752609604,46.2857108255725,49.5298750454688,46.588417702581395,48.7255074739254,50.131318682273594,49.262766569332896,48.331487462571204,49.42948108286261,49.33840282390321
root/EastAsia&PacificLaoPDR,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03847328374687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&PacificMacaoSARChina,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912212921227731,1.31255127153404,0.8967084615265691,0.958588957055215,2.09811473748226,1.7937985820449298,1.11584033130105,1.13692203733142,1.01689789437871,1.16261779962521,1.31158618994963,1.1239571876928,1.04920288902084,1.51235994591467,1.0392789670526301,1.10848710059862,0.9079769880068509,1.02813986635753,1.4488518427910102,3.1739771732357402,2.34313313675115,2.56170959594667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
