root/EastAsia&PacificAustralia,root,42.0,44.0,43.0,43.0,44.0,48.0,52.0,52.0,52.0,54.0,59.0,59.0,65.0,72.0,76.0,79.0,90.0
root/EastAsia&PacificCambodia,root,0,0,0,2.0,6.0,14.0,23.0,32.0,38.0,46.0,53.0,59.0,63.0,67.0,71.0,76.0,80.0
root/EastAsia&PacificFiji,root,0,0,0,0,7.0,10.0,13.0,15.0,18.0,20.0,22.0,23.0,34.0,32.0,34.0,31.0,32.0
root/EastAsia&PacificIndonesia,root,0,0,0,0,0,0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,6.0,8.0,10.0,13.0
root/EastAsia&PacificLaoPDR,root,0,0,0,1.0,3.0,6.0,8.0,10.0,13.0,16.0,18.0,20.0,23.0,26.0,30.0,35.0,41.0
root/EastAsia&PacificMalaysia,root,0,1.0,2.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,13.0,14.0,16.0,21.0,26.0,37.0
root/EastAsia&PacificMongolia,root,0,0,0,2.0,2.0,1.0,2.0,2.0,3.0,5.0,9.0,12.0,15.0,24.0,30.0,33.0,33.0
root/EastAsia&PacificMyanmar,root,0,0,0,0,0,1.0,2.0,5.0,6.0,9.0,13.0,17.0,23.0,30.0,38.0,47.0,55.0
root/EastAsia&PacificPapuaNewGuinea,root,0,0,0,0,0,1.0,4.0,9.0,13.0,16.0,19.0,23.0,29.0,35.0,42.0,48.0,52.0
root/EastAsia&PacificPhilippines,root,0,0,0,0,0,1.0,4.0,6.0,7.0,7.0,8.0,13.0,15.0,18.0,22.0,27.0,32.0
root/EastAsia&PacificThailand,root,0,1.0,2.0,4.0,10.0,18.0,23.0,28.0,32.0,36.0,41.0,45.0,49.0,53.0,58.0,61.0,69.0
root/EastAsia&PacificVietnam,root,0,0,0,0,0,1.0,4.0,8.0,12.0,17.0,21.0,26.0,30.0,34.0,37.0,43.0,47.0
root/Europe&CentralAsiaAlbania,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
root/Europe&CentralAsiaArmenia,root,0,0,0,0,0,1.0,2.0,2.0,3.0,5.0,8.0,10.0,14.0,19.0,24.0,29.0,36.0
root/Europe&CentralAsiaAzerbaijan,root,0,0,0,0,0,0,0,2.0,4.0,6.0,10.0,15.0,19.0,23.0,29.0,34.0,30.0
root/Europe&CentralAsiaBelarus,root,0,0,0,0,2.0,4.0,14.0,16.0,19.0,23.0,29.0,30.0,34.0,36.0,36.0,42.0,45.0
root/Europe&CentralAsiaBulgaria,root,9.0,10.0,9.0,12.0,12.0,12.0,10.0,9.0,9.0,11.0,12.0,14.0,16.0,19.0,21.0,24.0,26.0
root/Europe&CentralAsiaCroatia,root,22.0,26.0,28.0,30.0,31.0,34.0,37.0,38.0,44.0,45.0,48.0,50.0,53.0,56.0,59.0,65.0,70.0
root/Europe&CentralAsiaCzechRepublic,root,36.0,35.0,34.0,32.0,31.0,33.0,51.0,45.0,40.0,34.0,41.0,46.0,43.0,43.0,44.0,46.0,52.0
root/Europe&CentralAsiaFrance,root,62.0,62.0,63.0,64.0,64.0,65.0,66.0,66.0,67.0,68.0,68.0,69.0,69.0,70.0,73.0,75.0,78.0
root/Europe&CentralAsiaGeorgia,root,0,0,0,0,1.0,4.0,6.0,7.0,9.0,10.0,12.0,14.0,19.0,22.0,25.0,28.0,32.0
root/Europe&CentralAsiaIreland,root,15.0,17.0,18.0,20.0,22.0,24.0,27.0,28.0,29.0,31.0,39.0,41.0,49.0,57.0,64.0,70.0,77.0
root/Europe&CentralAsiaItaly,root,20.0,24.0,27.0,31.0,35.0,38.0,42.0,46.0,49.0,53.0,57.0,61.0,64.0,67.0,71.0,76.0,80.0
root/Europe&CentralAsiaKazakhstan,root,0,0,0,0,0,2.0,3.0,3.0,4.0,7.0,8.0,11.0,14.0,19.0,23.0,26.0,31.0
root/Europe&CentralAsiaKyrgyzRepublic,root,0,0,0,0,0,0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,13.0,19.0,28.0,28.0
root/Europe&CentralAsiaLatvia,root,0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,7.0,8.0,9.0,10.0,11.0,13.0,14.0,26.0
root/Europe&CentralAsiaLithuania,root,0,0,0,0,0,3.0,4.0,5.0,6.0,7.0,6.0,10.0,12.0,17.0,20.0,20.0,23.0
root/Europe&CentralAsiaMacedoniaFYR,root,4.0,4.0,5.0,5.0,1.0,5.0,7.0,9.0,13.0,13.0,17.0,20.0,25.0,28.0,33.0,41.0,48.0
root/Europe&CentralAsiaMoldova,root,0,0,0,0,1.0,2.0,3.0,6.0,7.0,10.0,12.0,15.0,17.0,19.0,23.0,26.0,29.0
root/Europe&CentralAsiaMontenegro,root,10.0,11.0,12.0,12.0,13.0,14.0,13.0,14.0,15.0,16.0,18.0,17.0,17.0,19.0,20.0,21.0,60.0
root/Europe&CentralAsiaNetherlands,root,42.0,44.0,47.0,48.0,49.0,50.0,51.0,54.0,57.0,60.0,63.0,66.0,68.0,72.0,75.0,77.0,80.0
root/Europe&CentralAsiaRomania,root,0,39.0,45.0,51.0,56.0,54.0,61.0,55.0,60.0,57.0,55.0,55.0,56.0,59.0,63.0,67.0,68.0
root/Europe&CentralAsiaSerbia,root,0,0,0,32.0,38.0,43.0,45.0,47.0,50.0,56.0,57.0,58.0,58.0,62.0,62.0,63.0,62.0
root/Europe&CentralAsiaSlovakRepublic,root,6.0,7.0,7.0,8.0,23.0,20.0,26.0,24.0,22.0,24.0,25.0,26.0,30.0,35.0,37.0,56.0,59.0
root/Europe&CentralAsiaSpain,root,45.0,50.0,55.0,56.0,56.0,57.0,58.0,58.0,58.0,65.0,69.0,70.0,73.0,75.0,76.0,79.0,77.0
root/Europe&CentralAsiaSweden,root,18.0,19.0,21.0,22.0,24.0,25.0,27.0,28.0,30.0,41.0,42.0,44.0,61.0,63.0,81.0,63.0,83.0
root/Europe&CentralAsiaTajikistan,root,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,7.0,8.0,10.0,15.0,22.0,30.0
root/Europe&CentralAsiaUkraine,root,0,0,0,0,1.0,1.0,2.0,4.0,5.0,8.0,11.0,13.0,20.0,26.0,30.0,26.0,37.0
root/LatinAmerica&CaribbeanArgentina,root,26.0,30.0,34.0,39.0,42.0,44.0,47.0,49.0,51.0,53.0,55.0,56.0,58.0,60.0,61.0,63.0,64.0
root/LatinAmerica&CaribbeanBahamasThe,root,1.0,2.0,2.0,12.0,15.0,18.0,22.0,22.0,25.0,27.0,20.0,19.0,22.0,26.0,30.0,29.0,28.0
root/LatinAmerica&CaribbeanBarbados,root,0,0,4.0,23.0,28.0,29.0,31.0,33.0,36.0,37.0,40.0,41.0,43.0,44.0,44.0,44.0,46.0
root/LatinAmerica&CaribbeanBelize,root,1.0,2.0,4.0,9.0,7.0,11.0,12.0,13.0,15.0,20.0,22.0,24.0,25.0,27.0,28.0,29.0,32.0
root/LatinAmerica&CaribbeanBolivia,root,0,0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,7.0,12.0,14.0,17.0,22.0,25.0
root/LatinAmerica&CaribbeanBrazil,root,27.0,30.0,31.0,32.0,34.0,35.0,33.0,33.0,33.0,35.0,38.0,40.0,43.0,47.0,51.0,57.0,60.0
root/LatinAmerica&CaribbeanChile,root,9.0,12.0,17.0,20.0,22.0,30.0,29.0,30.0,31.0,33.0,35.0,35.0,40.0,45.0,47.0,49.0,53.0
root/LatinAmerica&CaribbeanColombia,root,0,2.0,3.0,4.0,6.0,7.0,13.0,11.0,12.0,14.0,20.0,28.0,33.0,39.0,45.0,53.0,0
root/LatinAmerica&CaribbeanCostaRica,root,12.0,18.0,21.0,24.0,26.0,28.0,29.0,32.0,34.0,36.0,45.0,46.0,46.0,45.0,45.0,45.0,49.0
root/LatinAmerica&CaribbeanCuba,root,2.0,11.0,22.0,29.0,32.0,34.0,39.0,42.0,47.0,51.0,54.0,58.0,59.0,60.0,65.0,69.0,70.0
root/LatinAmerica&CaribbeanDominicanRepublic,root,0,0,0,0,1.0,3.0,5.0,10.0,14.0,17.0,22.0,27.0,31.0,34.0,39.0,46.0,46.0
root/LatinAmerica&CaribbeanEcuador,root,2.0,2.0,2.0,2.0,4.0,6.0,8.0,12.0,17.0,22.0,28.0,34.0,34.0,36.0,42.0,50.0,52.0
root/LatinAmerica&CaribbeanElSalvador,root,0,0,1.0,3.0,7.0,12.0,17.0,22.0,26.0,32.0,37.0,38.0,39.0,43.0,44.0,45.0,48.0
root/LatinAmerica&CaribbeanGuatemala,root,0,0,1.0,14.0,12.0,12.0,16.0,23.0,29.0,30.0,32.0,35.0,37.0,38.0,38.0,36.0,36.0
root/LatinAmerica&CaribbeanGuyana,root,0,0,0,3.0,10.0,23.0,29.0,34.0,41.0,45.0,46.0,50.0,52.0,54.0,55.0,56.0,58.0
root/LatinAmerica&CaribbeanHaiti,root,0,0,1.0,1.0,1.0,3.0,7.0,10.0,15.0,19.0,21.0,24.0,30.0,37.0,42.0,46.0,55.0
root/LatinAmerica&CaribbeanHonduras,root,0,0,1.0,6.0,8.0,13.0,17.0,21.0,25.0,29.0,32.0,36.0,40.0,43.0,45.0,48.0,51.0
root/LatinAmerica&CaribbeanJamaica,root,0,0,0,0,1.0,5.0,7.0,10.0,13.0,18.0,20.0,23.0,26.0,28.0,31.0,32.0,35.0
root/LatinAmerica&CaribbeanMexico,root,8.0,10.0,13.0,17.0,19.0,21.0,25.0,28.0,31.0,33.0,36.0,38.0,43.0,45.0,47.0,55.0,60.0
root/LatinAmerica&CaribbeanNicaragua,root,0,0,0,0,1.0,2.0,4.0,6.0,9.0,12.0,15.0,20.0,24.0,28.0,33.0,38.0,43.0
root/LatinAmerica&CaribbeanPanama,root,9.0,10.0,12.0,14.0,16.0,18.0,20.0,22.0,24.0,31.0,32.0,36.0,37.0,43.0,45.0,48.0,54.0
root/LatinAmerica&CaribbeanParaguay,root,0,0,0,0,0,4.0,6.0,8.0,11.0,15.0,19.0,19.0,22.0,25.0,28.0,30.0,35.0
root/LatinAmerica&CaribbeanPeru,root,0,0,1.0,3.0,2.0,5.0,7.0,12.0,15.0,22.0,29.0,31.0,40.0,41.0,47.0,53.0,60.0
root/LatinAmerica&CaribbeanSuriname,root,0,0,1.0,4.0,6.0,9.0,13.0,17.0,22.0,24.0,27.0,31.0,32.0,32.0,36.0,38.0,48.0
root/LatinAmerica&CaribbeanTrinidadandTobago,root,0,1.0,4.0,8.0,12.0,16.0,20.0,24.0,28.0,35.0,44.0,47.0,53.0,58.0,60.0,63.0,62.0
root/LatinAmerica&CaribbeanUruguay,root,24.0,23.0,21.0,20.0,19.0,17.0,17.0,17.0,17.0,17.0,19.0,23.0,36.0,43.0,45.0,52.0,53.0
root/LatinAmerica&CaribbeanVenezuelaRB,root,2.0,6.0,9.0,12.0,14.0,16.0,25.0,28.0,32.0,36.0,41.0,41.0,42.0,40.0,39.0,55.0,61.0
root/MiddleEast&NorthAfricaAlgeria,root,0,0,0,0,0,0,10.0,13.0,14.0,18.0,24.0,28.0,33.0,43.0,53.0,65.0,76.0
root/MiddleEast&NorthAfricaBahrain,root,9.0,10.0,15.0,13.0,13.0,15.0,18.0,20.0,22.0,25.0,28.0,30.0,32.0,34.0,38.0,42.0,42.0
root/MiddleEast&NorthAfricaDjibouti,root,0,0,0,1.0,1.0,2.0,4.0,6.0,8.0,9.0,10.0,11.0,14.0,15.0,18.0,22.0,26.0
root/MiddleEast&NorthAfricaEgyptArabRep,root,0,0,0,0,0,0,5.0,5.0,6.0,7.0,9.0,11.0,13.0,14.0,19.0,21.0,27.0
root/MiddleEast&NorthAfricaIranIslamicRep,root,0,0,0,0,0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,6.0,7.0,9.0,11.0,14.0
root/MiddleEast&NorthAfricaJordan,root,0,0,0,0,25.0,29.0,32.0,34.0,37.0,39.0,40.0,37.0,40.0,43.0,47.0,50.0,55.0
root/MiddleEast&NorthAfricaKuwait,root,51.0,55.0,66.0,52.0,65.0,73.0,69.0,65.0,53.0,61.0,56.0,70.0,69.0,76.0,74.0,71.0,80.0
root/MiddleEast&NorthAfricaLebanon,root,2.0,4.0,6.0,9.0,11.0,13.0,15.0,18.0,21.0,24.0,27.0,30.0,33.0,36.0,40.0,44.0,51.0
root/MiddleEast&NorthAfricaMalta,root,32.0,30.0,26.0,25.0,22.0,26.0,25.0,27.0,32.0,37.0,42.0,45.0,52.0,56.0,63.0,75.0,75.0
root/MiddleEast&NorthAfricaMorocco,root,0,0,0,5.0,7.0,8.0,9.0,10.0,13.0,14.0,16.0,20.0,25.0,30.0,34.0,41.0,48.0
