root/EastAsia&Pacific,root,344092577916.17896,440901864924.368,516539029246.585,601714097325.171,764142469266.397,765076036082.713,810583672101.478,870842938335.087,1065429863386.33,1154699723885.4028,393453840571.5849,241205343753.91324,102116639072.34378,132515900661.14195,373496531001.9319,192915305029.48227,167743311512.97955,78605062683.56142,170360532318.50223,415252464808.3558,33496367926.194153,462504537512.31036,173867864089.08698,445200096060.2265,687258847937.6141,1306190404696.15,1248105235299.1667,2059359615991.6846,2285875075791.0503,2741549418066.8047,2739842773480.654,2989864011043.771,3812309675567.5283,4131493648705.7603,3751452856434.466,4731682373470.25,6578241037050.81,7095373487103.852,7473741223342.824,7627342526362.962,8138319541321.437,10071914227555.117,10909954859791.018,11248711862245.613,12353493045546.201,14740945582281.414,18239561885540.973,21225474947852.78,21040149798397.902,17175720771077.877,17571016713251.049,19293951977611.484,18424034816788.72,19097571836034.723
root/EastAsia&Pacific/Cambodia,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852695864371.4609,1151228322091.61,571139151712.543,984079486905.023,1323901352128.52,1596910549737.4,1505898721223.17,1772765722182.36,1568619400015.7,1529835739133.18,1512780760271.48,2117652134640.05,1943229607405.75,2063790566557.97,1714193761149.39,1863362585495.0,1631763709703.38,0,0
root/EastAsia&Pacific/China,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2986342979.59297,3191428953.07758,2981472717.80093,1904769128.59949,3477601889.80248,2054997201.8832898,3438304921.3924,3116249162.37767,2696610227.2731,8088559233.6,10300924701.6646,9506267929.25578,13552609766.5415,12626388662.9063,17682929086.7178,42229589256.1326,35879384182.9762,42070177860.7304,52247507312.0,68877116080.3163,104685600135.37,137126337334.555,168288183577.955,167045148685.906,184171371610.09302,215745374579.13397,212689069600.06897,154399170652.134,184396252429.442,98315061346.1676,13197719783.7922,32381982924.593
root/EastAsia&Pacific/Japan,root/EastAsia&Pacific,344092577916.17896,440901864924.368,516539029246.585,601714097325.171,764142469266.397,765076036082.713,810583672101.478,870842938335.087,1064920516456.76,1154414777460.56,353899374191.075,199840604983.281,65654518048.0294,96376945575.6642,333506046128.891,174208437979.96802,153316113033.573,55398757688.3073,150727463159.663,397853471513.70294,16684832832.4275,447789183001.77203,156022165175.449,422540602307.062,665262667336.568,1286994749802.09,1227924894998.13,2042576106971.67,2268774537199.02,2724814036998.61,2715530009909.55,2929732813484.28,3729950751635.24,3872969338325.62,3548204552586.26,3734987593319.51,5272086667151.39,6369971964068.35,6311974351641.31,5864685137888.34,6034514369613.78,7907638978471.12,7699357045010.23,8048384563711.57,9269060629464.96,11749400000000.0,14628650394123.2,17699272224320.9,17362687895041.1,13589334765587.8,13780150000164.1,15880578479662.4,16430243385110.0,18997006144619.8
root/EastAsia&Pacific/LaoPDR,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715383876412.515,804808450372.357,522617622915.31104,460183052465.786,512412555522.00397,620998164531.9829,692081135977.426,969717895916.025,1088966021636.17,943733921330.996,1246224008253.51,0
root/EastAsia&Pacific/Mongolia,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6436344763.55036,35636184553.9056,49300705452.4776,219821271991.466,153473798335.22598,108793212451.415,111152878392.38301,90600437261.8467,105473875016.54,143734760209.02402,184238298079.27,238821412087.675,236028734932.672,259661760969.09302,383575681395.19104,271412598009.25302,204451610462.001,182486886869.608,156027246133.334,158839172640.47,99756195450.0006,132968709935.289,127692679896.1,68183708489.1052
root/EastAsia&Pacific/NewZealand,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,813825766.748126,818457073.815606,1176935792.42404,1184407236.97505,1123721278.1397,1784307037.01577,2522274994.32878,2291033595.79751,2567808374.4503,2034600639.6999102,2068315956.71175,2266628014.59547,2636079263.5986,3671406173.27155,5038040848.379729,5633154400.82049,5007169023.4831,5163294398.86885,5070906971.78641,5003448538.59408,4191071963.7644296,6600608685.8945,6359865515.65829,7437922753.501009,7201364280.32145,7252561205.424241,8901083310.09063,7402964010.7367,5736002786.35258,7890388001.93013,7682731360.91965,7083710446.8723,7401271496.16755,7268559140.096271,8920824548.62099,10556374700.0,11213412317.9166,12355616962.0969,12328581182.9142,7081108404.421959,8730747869.90802,8031281087.018121,8085602858.21695,1.2241299766968
root/EastAsia&Pacific/PapuaNewGuinea,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,38522232144.2158,40057570597.8676,33260568307.9194,28095596983.3953,28911091889.6763,14488913350.584,10710216716.1163,20071391182.368,16844277549.5896,14621418995.1086,12592119457.3729,11052720928.5097,10180262893.3954,11655294461.7844,12339851767.1034,10253841671.3095,9865827713.15248,6856271530.27622,7412630925.95871,7495986999.214971,6269415616.659329,3506967664.3836,3333324554.84831,7123238138.07683,8269675829.51647,6947564640.143129,3146226438.84974,1976182851.333,477075850.779962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/EastAsia&Pacific/Philippines,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17920567294.0205,236108582190.27103,249375463577.27,329046607355.474,360287150470.63794,401781116068.00397,426501284782.416,488081990478.351,498961885743.558,462885626354.274,446604174232.771,503093016035.63,466952331673.555,471452022293.613,465222089430.053,0
root/EastAsia&Pacific/Thailand,root/EastAsia&Pacific,0,0,0,0,0,0,0,0,509346929.569899,284946424.84265697,218408469.54596,488711098.948991,2024616923.97093,6858950865.1074,9955671705.22488,2433646661.91445,1194706768.9614801,843880217.088604,220983234.79934102,742973659.844337,2151099679.682,1396005567.4331698,2043013777.05104,4141364165.03097,1636815267.76205,1403889693.3302,1829741674.59862,2708945888.98628,1178695772.89279,1119696368.0084,4719320999.856879,6298877421.7071295,13064103707.6396,14635609567.8407,20750855636.6005,8379188819.39095,14042930579.7684,12053197942.9106,12200479665.8227,8952128084.14697,13350621640.7981,14547681890.4888,14045459151.0622,21061674634.238,44693079728.5657,81485657670.6371,82048521122.1482,88501446829.0334,93941129672.3153,79061880692.0038,78702578532.8748,127108792252.616,133369331457.041,0
